,Rank,Team,Index,Wins,Losses,Points
121,1,Kutztown Golden Bears,100.0,12,0,36
55,2,Albany State Golden Rams,99.19074069310562,11,0,33
114,3,Harding University Bisons,96.69453352330623,12,0,36
8,4,Ferris State Bulldogs,95.70785578087052,11,0,33
129,5,Indianapolis Greyhounds,80.2737574564241,10,1,30
146,6,Newberry Wolves,78.53111800782787,9,1,27
44,7,West Florida Argonauts,77.89464961595442,10,1,30
9,8,Pittsburg State Gorillas,74.65315688942674,10,2,30
108,9,Ashland Eagles,72.6650071569799,10,2,30
0,10,Central Washington Wildcats,71.74013665662534,10,1,30
74,11,Benedict College Tigers,71.33807157499503,10,2,30
128,12,Findlay Oilers,65.17115766437618,10,2,30
72,13,Johnson C Smith Golden Bulls,62.096084029674586,9,2,27
40,14,Colorado State-Pueblo Thunderwolves,61.392084032867466,10,2,30
86,15,Frostburg State Bobcats,60.93342229711104,10,2,30
173,16,Eastern University Eagles,60.42249703455197,3,0,9
43,17,Minnesota Duluth Bulldogs,59.50133177597327,10,2,30
172,18,Delaware Valley Aggies,59.37475930743602,3,0,9
21,19,Northwest Missouri State Bearcats,58.53935592498033,9,3,27
34,20,Western Colorado Mountaineers,57.98062685197747,10,2,30
56,21,UT Permian Basin Falcons,57.73060348807492,10,2,30
62,22,Kentucky State Thorobreds,55.79474761497625,9,2,27
122,23,Assumption Greyhounds,55.567395174533715,9,2,27
82,24,Wingate Bulldogs,55.023116823491044,9,3,27
20,25,Minnesota State Mavericks,54.42598634751591,9,3,27
106,26,California (PA) Vulcans,54.11396381448782,9,3,27
101,27,Virginia Union Panthers,53.393835508079746,9,2,27
70,28,Augustana University (SD) Vikings,51.79859196865247,9,2,27
130,29,Northwood (MI) Timberwolves,51.79746873001444,9,3,27
164,30,Upper Iowa Peacocks,51.2429626376704,8,2,24
156,31,Misericordia Cougars,50.86036293476378,7,2,21
7,32,Northeastern State RiverHawks,48.79352705987769,7,2,21
59,33,Emory & Henry College Wasps,47.22879837482353,8,3,24
50,34,Carson-Newman Eagles,46.18759907040766,7,3,21
154,35,Chadron State Eagles,46.04757937722167,8,3,24
170,36,Western Oregon Wolves,45.670767098847385,7,2,21
14,37,University Of Charleston (WV) Golden Eagles,45.183570058385556,8,3,24
83,38,UNC Pembroke Braves,44.776186772991714,8,3,24
16,39,Delta State Statesmen,44.67167256174237,7,3,21
64,40,Valdosta State Blazers,44.08381022528799,6,4,18
117,41,Southern Arkansas Muleriders,43.79282867153871,8,3,24
115,42,Henderson State Reddies,43.37646704719083,8,3,24
67,43,Truman State Bulldogs,43.16620242957823,8,3,24
107,44,Indiana-Pennsylvania Crimson Hawks,41.23158626913912,7,4,21
75,45,Fayetteville State Broncos,40.69729291078635,6,3,18
5,46,Minnesota State Moorhead Dragons,40.46429677908567,8,3,24
168,47,King's College (PA) Monarchs,37.83744915779055,2,1,6
26,48,East Stroudsburg Warriors,37.702794077359286,8,3,24
88,49,Catawba Indians,36.20235643609904,7,4,21
52,50,Grand Valley State Lakers,36.087283424173535,7,3,21
18,51,Wayne State (NE) Wildcats,35.366540226456934,7,4,21
27,52,Edinboro Fighting Scots,35.174406916422136,7,4,21
