,Rank,Team,Index,Wins,Losses,Points,Mask
89,1,Indiana,100.0,13,0,39,True
69,2,Ohio St.,99.39936213611553,12,1,36,True
106,3,Oregon,92.33529447871194,12,1,36,True
93,4,Georgia,85.54884372473845,12,1,36,True
162,5,BYU,83.56339540949578,12,2,36,True
150,6,Ole Miss,76.95937311773953,12,1,36,True
181,7,Notre Dame,75.35340223510761,10,2,30,True
142,8,Texas Tech,72.99414141864354,12,1,36,True
180,9,Miami (FL),68.17145778468276,11,2,33,True
103,10,Alabama,64.24489945018954,11,3,33,True
132,11,Texas A&M,60.08218667595697,11,2,33,True
70,12,Texas,59.58489321844352,9,3,27,True
63,13,Navy,59.31552488722106,10,2,30,True
120,14,James Madison,57.146199725581916,12,2,36,True
75,15,Tulane,56.159622905372416,11,3,33,True
156,16,North Texas,55.301702532144525,12,2,36,True
136,17,Vanderbilt,54.359657587542564,10,2,30,True
118,18,Oklahoma,54.2001592234984,10,3,30,True
177,19,Utah,53.755185726063466,10,2,30,True
140,20,Michigan,52.87312782164367,9,3,27,True
148,21,Southern California,52.079766249589014,9,3,27,True
167,22,Arizona St.,48.863144381372344,8,4,24,True
1,23,Iowa St.,47.518519360541795,8,4,24,True
55,24,Illinois,47.45091186036537,8,4,24,True
116,25,Virginia,47.18932885420274,11,3,33,True
183,26,TCU,44.483179642817475,8,4,24,True
91,27,Louisville,44.283439116000615,9,4,27,True
114,28,Iowa,43.68873113478828,8,4,24,True
164,29,SMU,43.33906980310148,8,4,24,True
173,30,Arizona,43.20253732026951,9,3,27,True
60,31,Georgia Tech,42.58672298295678,9,4,27,True
65,32,Tennessee,41.49450038638101,8,4,24,True
30,33,Duke,41.3444718696947,8,5,24,True
34,34,Houston,41.308559502613605,10,3,30,True
174,35,Washington,40.709907888692996,9,4,27,True
90,36,Old Dominion,40.40082739732037,10,3,30,True
11,37,Boise St.,39.147641112274314,9,5,27,True
96,38,Penn St.,37.926714413255176,7,6,21,True
17,39,East Carolina,37.607167376533035,9,4,27,True
2,40,UNLV,36.66731977220023,10,4,30,True
16,41,NC State,35.715636472793186,8,5,24,True
10,42,South Fla.,35.57739231961897,9,4,27,True
15,43,Ohio,35.522543770867244,9,4,27,True
