,Rank,Team,Index,Wins,Losses,Points
59,1,North Dakota St.,100.0,14,2,42
3,2,Montana St.,93.52388092917765,15,1,45
95,3,South Dakota St.,82.30217741732905,12,3,36
33,4,Jackson St.,73.8589259981353,12,2,36
50,5,South Dakota,68.19386599389868,11,3,33
113,6,UC Davis,65.04871702420168,11,3,33
139,7,Rhode Island,62.22419659908156,11,3,33
158,8,Idaho,62.08745715532757,10,4,30
143,9,UIW,61.59873485342624,11,3,33
267,10,Dartmouth,60.58557099681241,8,2,24
22,11,Mercer,56.708750947541496,11,3,33
262,12,Harvard,55.98463454834517,8,2,24
18,13,Delaware,55.05880665954888,9,2,27
228,14,Drake,54.667363593604186,8,3,24
14,15,Villanova,52.2961069415115,10,4,30
87,16,Illinois St.,52.233445819217884,11,4,33
116,17,South Carolina St.,51.720158404675445,9,3,27
268,18,Yale,51.61886449201745,7,3,21
182,19,Missouri St.,49.43339169829298,8,4,24
0,20,Tarleton St.,48.68656641005887,10,4,30
71,21,Lehigh,47.319540243998865,9,4,27
130,22,Richmond,46.465868591563584,10,3,30
43,23,Duquesne,45.23984758760229,8,3,24
209,24,Edinboro,44.36761719420676,1,0,3
166,25,San Diego,44.353094811695364,8,3,24
133,26,Tennessee St.,43.307382234239114,9,4,27
264,27,Columbia,43.248379858395985,7,3,21
92,28,Butler,43.153356596427685,9,3,27
58,29,Colorado,42.956055538586206,1,0,3
150,30,UT Martin,42.861278760677706,9,5,27
17,31,Sioux Falls,42.31003331227718,1,0,3
29,32,New Hampshire,41.73991619636337,8,5,24
94,33,Oklahoma St.,41.44064129470861,1,0,3
198,34,Wisconsin,40.62402130598283,1,0,3
112,35,California,40.529981153933456,1,0,3
281,36,Frostburg St.,40.38704318599581,1,0,3
32,37,ULM,40.35112577603667,1,0,3
162,38,Abilene Christian,40.30866547379977,9,5,27
291,39,Alabama,40.0740193328394,1,0,3
157,40,Oregon,40.04579434979264,1,0,3
132,41,Eastern Ky.,39.764192353047896,8,5,24
274,42,Massachusetts,39.70468702857555,2,0,6
189,43,Minnesota,39.68489542768815,1,0,3
250,44,Ga. Southern,39.49305377748279,1,0,3
148,45,Baylor,39.35622076897235,1,0,3
86,46,Iowa,39.34868667351867,1,0,3
70,47,Army West Point,39.11396444888742,1,0,3
187,48,N.C. Central,38.984098968601856,8,3,24
129,49,Virginia,38.71080106870161,1,0,3
201,50,Boston College,38.633551250784706,1,0,3
260,51,Maryland,38.62606479616028,1,0,3
194,52,Ball St.,38.459882289796326,1,0,3
248,53,North Carolina,38.39034599107531,1,0,3
42,54,Toledo,38.17065900118602,1,0,3
161,55,Texas Tech,38.14380587063467,1,0,3
181,56,Montana,38.142020085483935,9,5,27
131,57,Mississippi St.,38.03240287920809,1,0,3
149,58,Kansas St.,37.83650143933157,1,0,3
