,Rank,Team,Index,Wins,Losses,Points
4,1,Grand View,100.0,13,0,39
69,2,Montana Tech (MT),84.92386931256407,11,0,33
76,3,Keiser (Fla.),81.09437393682518,11,0,33
39,4,Marian,79.37867133054645,11,0,33
17,5,Friends (KS),70.59744175063013,11,1,33
43,6,Lindsey Wilson (Ky.),65.0804990936913,9,2,27
5,7,Benedictine (KS),64.04285082607738,11,2,33
15,8,William Penn (Iowa),57.9813820549075,10,2,30
25,9,College of Idaho,54.37810250052752,9,2,27
0,10,Saint Francis (IN),54.32588490996753,10,2,30
59,11,Louisiana Christian,51.39222646596004,7,1,21
18,12,Dordt (IA),51.243028136186346,9,2,27
70,13,OUAZ,50.63693549684813,8,1,24
23,14,Morningside (Iowa),49.457932929852085,9,2,27
91,15,Dakota State (SD),47.68396364507034,7,1,21
34,16,Indiana Wesleyan,45.471039707232634,9,2,27
55,17,McPherson (Kan.),44.5205219448238,8,2,24
72,18,Texas Wesleyan,43.20509134716537,7,2,21
68,19,Carroll (MT),40.378152827301356,8,3,24
44,20,Cumberland (Tenn.),39.83188461720924,7,3,21
81,21,Southeastern (Fla.),38.31490446799685,8,3,24
48,22,Evangel (Mo.),37.33993879123245,8,3,24
7,23,Campbellsville (KY),37.00769475075724,6,3,18
26,24,Montana Western (MT),34.64650596839545,7,2,21
29,25,Georgetown (Ky.),34.5806105676962,6,3,18
64,26,Concordia (Neb.),31.757170171828236,7,3,21
57,27,Southwestern,31.400896093650104,7,3,21
35,28,Saint Xavier (IL),28.22477795663773,7,3,21
80,29,St. Thomas (Fla.),27.93176526842036,6,4,18
77,30,Bethel (TN),27.25690655390842,4,4,12
51,31,Baker,26.727234828622706,6,4,18
13,32,Taylor (IN),25.991989515485077,7,3,21
71,33,Wayland Baptist (TX),25.888503590024673,5,3,15
45,34,Reinhardt (Ga.),25.83218968068184,6,4,18
50,35,Peru State,25.010081760454188,6,4,18
46,36,MidAmerica Nazarene,23.85553940780227,6,4,18
21,37,Midland,23.100797343152742,6,4,18
75,38,Northwestern (Iowa),22.984015316551623,5,4,15
93,39,Point,22.95726149253068,4,2,12
85,40,Valley City State,21.428895127158338,5,3,15
53,41,Kansas Wesleyan,20.522492858611596,6,4,18
10,42,Ottawa (Kan.),19.9851243945793,6,4,18
60,43,Olivet Nazarene (IL),19.05284984111119,5,4,15
86,44,Pikeville (KY),18.012893132366816,4,3,12
92,45,Florida Memorial,17.19791339505019,4,4,12
24,46,Rocky Mountain (MT),17.055946572248846,4,6,12
22,47,Briar Cliff (IA),16.129872668465374,5,5,15
20,48,Hastings,15.122955233186469,4,5,12
40,49,Cumberlands (Ky.),13.44271144384019,3,6,9
1,50,Siena Heights,11.924206492448068,5,5,15
56,51,Tabor,11.448227284812829,4,6,12
62,52,Missouri Baptist,11.359813314047983,4,6,12
82,53,Faulkner (AL),11.357138655862087,3,6,9
73,54,Nelson (Texas),10.845351951911177,3,5,9
58,55,Langston (Okla.),10.746967886971047,3,5,9
41,56,Bluefield (VA),10.448468027880278,3,4,9
6,57,Webber International (FL),9.308753721825207,3,6,9
47,58,Culver-Stockton (MO),9.156509643104805,4,6,12
84,59,Eastern Oregon,8.732138173927067,3,5,9
63,60,St. Ambrose (IA),8.684775992095783,4,6,12
89,61,Mayville State,8.236727129046349,3,5,9
32,62,Graceland,7.8432821711915865,3,7,9
83,63,Southern Oregon,7.471850686285181,2,6,6
19,64,Dakota Wesleyan (SD),7.2749460959463725,3,7,9
37,65,Mount Marty,7.255619466062402,3,7,9
14,66,Central Methodist,7.222195690782224,3,7,9
79,67,Kentucky Christian,6.569199170270388,2,5,6
8,68,Union Commonwealth,6.334029709163818,3,5,9
87,69,Oklahoma Panhandle State,6.286615755811377,2,6,6
42,70,Ave Maria,6.007524715862907,2,7,6
2,71,Defiance College (OH),5.81161982612398,3,7,9
12,72,St. Francis (IL),5.800987662074193,3,7,9
30,73,Missouri Valley,5.7395097925299,3,7,9
54,74,Bethel (KS),5.7232341891654155,3,7,9
11,75,Saint Mary,5.689238037432994,3,7,9
78,76,Dickinson State (ND),5.661555209324838,2,7,6
90,77,Arizona Christian,5.517812467053817,2,7,6
65,78,Doane (NE),5.4217789197122634,2,7,6
52,79,Bethany (KS),5.38467151598878,3,7,9
74,80,Warner (FL),5.130865621985692,2,7,6
31,81,Clarke (IA),4.645682407371781,2,8,6
66,82,Arkansas Baptist,3.603885552353129,1,7,3
67,83,Texas College,3.572519849804054,1,7,3
38,84,Lawrence Tech,2.940481189130162,2,8,6
27,85,Montana State-Northern (MT),2.721492139189976,1,9,3
49,86,Sterling,2.145340987784947,1,9,3
16,87,Avila (MO),1.9827765261461185,1,9,3
33,88,William Woods,1.934664870601179,1,9,3
28,89,Rio Grande,1.5832350406389009,0,7,0
88,90,Simpson (CA),1.3288108482648897,0,8,0
36,91,Waldorf,1.2971779243391153,0,9,0
61,92,Madonna (Mich.),1.0532316706064833,0,10,0
3,93,Judson (IL),0.9992294932372884,0,10,0
9,94,Thomas,0.9740187469489794,0,10,0
