,Rank,Team,Index,Wins,Losses,Points
9,1,Winnipeg Jets,100.0,56,26,168
11,2,Toronto Maple Leafs,82.85391647746285,52,30,156
31,3,Washington Capitals,79.32862941701482,51,31,153
16,4,Vegas Golden Knights,76.31694692185006,50,32,150
23,5,Dallas Stars,76.12884337616133,50,32,150
17,6,Colorado Avalanche,72.1366221161085,49,33,147
18,7,Los Angeles Kings,69.27254968374878,48,34,144
8,8,Edmonton Oilers,69.09004909994914,48,34,144
28,9,Tampa Bay Lightning,66.84435907450418,47,35,141
2,10,Florida Panthers,66.8226400471416,47,35,141
27,11,Carolina Hurricanes,66.42737910125616,47,35,141
20,12,Minnesota Wild,60.834542892202236,45,37,135
25,13,Ottawa Senators,60.74004702987811,45,37,135
5,14,St. Louis Blues,58.61304847108019,44,38,132
1,15,New Jersey Devils,52.985671142292496,42,40,126
15,16,Calgary Flames,49.73435251268244,41,41,123
10,17,Montreal Canadiens,48.699506141307,40,42,120
21,18,Columbus Blue Jackets,48.309820016302716,40,42,120
19,19,Detroit Red Wings,46.42043740599963,39,43,117
13,20,New York Rangers,46.05320401997738,39,43,117
6,21,Utah Hockey Club,43.96064146284493,38,44,114
14,22,Vancouver Canucks,43.096013695667104,38,44,114
0,23,Buffalo Sabres,39.93584216609906,36,46,108
30,24,Anaheim Ducks,38.10686676259581,35,47,105
24,25,New York Islanders,37.560974670879034,35,47,105
4,26,Seattle Kraken,37.4855180871609,35,47,105
12,27,Pittsburgh Penguins,36.11531881667087,34,48,102
3,28,Boston Bruins,34.7770610484171,33,49,99
29,29,Philadelphia Flyers,34.12006054851562,33,49,99
22,30,Nashville Predators,29.640404425729557,30,52,90
7,31,Chicago Blackhawks,22.54118749911899,25,57,75
26,32,San Jose Sharks,16.44909321526714,20,62,60
