,Rank,Team,Index,Wins,Losses,Ties,Points
0,1,Bayern Munich,99.99999999999999,6,0,0,18
13,2,Dortmund,52.6881495429017,4,0,2,14
1,3,RB Leipzig,50.672395128662735,4,1,1,13
10,4,Leverkusen,50.34543438233157,3,1,2,11
7,5,Stuttgart,38.704254203942284,4,2,0,12
2,6,Eint Frankfurt,37.641866448033696,3,3,0,9
3,7,Werder Bremen,29.764361472643515,2,3,1,7
4,8,Freiburg,28.8137092063476,2,2,2,8
15,9,Köln,26.93360643800984,3,2,1,10
11,10,Hoffenheim,26.60529387430112,2,3,1,7
6,11,Union Berlin,25.27079901018476,2,3,1,7
12,12,St. Pauli,24.305429181885994,2,3,1,7
17,13,Hamburger SV,20.20048070250604,2,2,2,8
16,14,Gladbach,17.95645559925148,0,3,3,3
9,15,Wolfsburg,16.890415335631996,1,3,2,5
5,16,Augsburg,16.76969585235258,2,4,0,6
14,17,Mainz 05,15.852470588081276,1,4,1,4
8,18,Heidenheim,8.951013487409725,1,5,0,3
