,Rank,Team,Index,Wins,Losses,Ties,Points
33,1,UBC,100.0,17,1,1,52
54,2,UQTR,72.43073811052022,9,0,3,30
39,3,York,62.269397674873616,9,1,2,29
42,4,Cape Breton,60.49196874766882,10,2,2,32
13,5,Dalhousie,58.35614184998497,12,2,3,39
25,6,Toronto,56.13616114529516,10,2,1,31
26,7,Montreal,52.84524865012203,8,2,3,27
31,8,Victoria,45.70603075922624,10,3,4,34
53,9,Toronto Metropolitan,44.53395659505632,8,1,3,27
23,10,StFX,44.33190468872058,11,4,3,36
12,11,Sherbrooke,43.79898678670935,6,2,5,23
34,12,Mount Royal,43.59972288737351,9,3,5,32
44,13,Waterloo,42.08012099537275,7,2,3,24
20,14,Cavalry FC,37.74208002365421,1,0,0,3
52,15,Brock,34.12937981483971,6,3,3,21
10,16,Laval,33.6822715079573,7,5,1,22
8,17,UFV,32.81823176442517,8,5,5,29
35,18,Carleton,31.650113681369874,6,1,6,24
11,19,UNB,30.07905984673145,8,6,3,27
49,20,Lethbridge,28.46059253467368,5,3,7,22
5,21,Calgary,27.55411181812493,10,7,2,32
14,22,Queen's,26.83484014464237,6,5,2,20
15,23,McGill,26.314648911960692,4,4,8,20
30,24,CF Montreal,26.17024908366379,0,0,1,1
2,25,Alberta,24.70512913533844,8,7,3,27
29,26,Moncton,24.287105152375453,8,7,2,26
38,27,McMaster,22.49764328581615,3,4,6,15
50,28,Trent,22.40294259353687,6,5,1,19
47,29,Ontario Tech,21.27162903815789,6,5,1,19
45,30,Guelph,21.03232477248946,4,3,5,17
22,31,Memorial,19.06750058076525,5,6,4,19
24,32,Acadia,18.589662800816292,5,6,4,19
40,33,Laurier,18.440763086306816,3,5,4,13
32,34,Trinity Western,16.321075133935395,5,7,4,19
21,35,Langara,15.884029416160791,1,1,0,3
43,36,Western,15.1821654892279,4,7,1,13
48,37,Saskatchewan,15.006834943053388,3,7,4,13
36,38,UNBSJ (ACAA),14.989310988719145,0,1,0,0
37,39,King's College,13.548387817457208,0,1,0,0
9,40,Lethbridge Polytechnic,13.470027863025297,0,1,0,0
19,41,Lakeland College,13.439771558648461,0,1,0,0
4,42,MacEwan,13.385642327223781,4,7,6,18
18,43,Algoma,12.358088373651428,3,7,3,12
3,44,UNBC,10.58383946985683,4,11,3,15
55,45,Concordia,9.199220664707909,3,9,0,9
17,46,Laurentian,9.198281244453703,2,8,3,9
28,47,Redeemer,8.152320463411339,0,1,0,0
51,48,Nipissing,8.089396757272837,1,8,3,6
46,49,Windsor,7.9413111622797645,1,8,3,6
6,50,Thompson Rivers,7.458144146507906,4,13,1,13
0,51,UPEI,6.9155139340922505,4,11,0,12
16,52,Saint Mary's,6.7277330908441035,4,10,1,13
7,53,UBCO,5.220693676156768,2,14,3,9
41,54,UQAM,3.274217073238638,0,11,1,1
27,55,RMC,2.1428032698717154,1,12,0,3
1,56,Mount Allison,1.6024379696180204,1,14,0,3
