,Rank,Team,Index,Wins,Losses,Ties,Points
3,1,Liverpool,100.0,14,1,4,46
10,2,Arsenal,76.31264696818934,11,2,7,40
17,3,Manchester City,54.80022266678231,10,6,4,34
6,4,Nott'ham Forest,54.39341555385085,12,4,4,40
16,5,Chelsea,50.58927966699105,10,4,6,36
4,6,Newcastle Utd,48.055745308855116,10,5,5,35
7,7,Bournemouth,42.574624997126136,9,5,6,33
13,8,Aston Villa,38.879847932188476,9,6,5,32
1,9,Fulham,35.19495180682706,7,4,9,30
9,10,Brighton,34.5070166754039,6,4,10,28
14,11,Brentford,25.384459723175702,8,9,3,27
0,12,Manchester Utd,25.118118801472793,6,9,5,23
15,13,Crystal Palace,24.07963937919751,4,7,9,21
12,14,West Ham,23.82250404378685,6,9,5,23
19,15,Tottenham,23.168983318942633,7,10,3,24
8,16,Everton,19.67666283243338,3,8,8,17
11,17,Wolves,14.07438481462016,4,12,4,16
2,18,Ipswich Town,13.883394405553217,3,10,7,16
18,19,Leicester City,11.162835091227446,3,12,5,14
5,20,Southampton,4.859083670540533,1,16,3,6
