,Rank,Team,Index,Wins,Losses,Ties,Points
18,1,Real Madrid,100.0,10,1,0,30
5,2,Barcelona,73.58754821054967,8,2,1,25
15,3,Atlético Madrid,62.269328337367334,6,1,4,22
2,4,Villarreal,59.50355790910245,7,2,2,23
17,5,Betis,43.317911898424384,5,2,4,19
14,6,Espanyol,32.309047293579745,5,3,3,18
11,7,Getafe,28.323678833756826,5,4,2,17
10,8,Celta Vigo,27.237082117911076,2,2,7,13
8,9,Alavés,27.072599901505175,4,4,3,15
16,10,Elche,26.76557527820387,3,3,5,14
12,11,Athletic Club,26.49641981438226,4,5,2,14
1,12,Rayo Vallecano,26.24264060488854,4,5,2,14
19,13,Osasuna,22.25052842308982,3,6,1,10
7,14,Real Sociedad,21.482137128481433,3,5,3,12
13,15,Sevilla,20.111767596619856,4,6,1,13
4,16,Mallorca,18.028813215108887,2,6,3,9
6,17,Valencia,16.91236711864728,2,6,3,9
9,18,Levante,13.276651022029894,2,6,3,9
0,19,Girona,12.289065565393985,1,6,4,7
3,20,Oviedo,9.322459119619896,2,7,1,7
