,Rank,Team,Index,Wins,Losses,Ties,Points
9,1,Paris Saint-Germain,100.0,20,5,3,63
1,2,Lens,91.94134756219698,20,7,2,62
13,3,Lille,61.88640347268172,16,8,6,54
10,4,Lyon,61.8259356197917,16,8,6,54
11,5,Marseille,59.180641135282876,16,10,4,52
0,6,Stade Rennais,58.585536984911215,15,7,8,53
2,7,AS Monaco,51.5995297629315,15,10,5,50
15,8,Strasbourg,45.69840785246808,12,10,7,43
14,9,Lorient,41.47960964151651,10,9,11,41
17,10,Paris FC,35.82769827484579,9,10,11,38
6,11,Brest,32.97951441686783,10,12,7,37
16,12,Toulouse,31.250660458165203,10,13,7,37
4,13,Angers,28.23082850916782,9,14,7,34
12,14,Le Havre AC,27.06100369789726,6,12,12,30
3,15,Nice,23.335146742431245,7,15,8,29
5,16,AJ Auxerre,21.414953931719833,5,15,10,25
8,17,Nantes,14.360638409714383,4,17,8,20
7,18,Metz,10.321179911055436,3,21,6,15
