,Rank,Team,Index,Wins,Losses,Points
0,1,Toronto Blue Jays,100.0,104,76,312
22,2,Los Angeles Dodgers,98.66315431895826,104,73,312
3,3,Milwaukee Brewers,98.58419647926465,100,71,300
2,4,New York Yankees,95.95439399288301,97,72,291
5,5,Philadelphia Phillies,95.95171816609042,97,69,291
27,6,Chicago Cubs,93.60509456527473,96,72,288
28,7,Seattle Mariners,88.65821793109589,96,78,288
13,8,Boston Red Sox,86.98177077550709,90,75,270
20,9,San Diego Padres,84.89694225104343,91,74,273
23,10,Detroit Tigers,80.9746304049487,91,79,273
18,11,Houston Astros,80.80589764188562,87,75,261
15,12,Cleveland Guardians,80.67164656576175,89,76,267
8,13,Cincinnati Reds,73.91980583150216,83,81,249
19,14,New York Mets,73.42787277713568,83,79,249
12,15,Texas Rangers,71.82348981539933,81,81,243
14,16,Kansas City Royals,71.78178265146688,82,80,246
9,17,San Francisco Giants,69.89392544354396,81,81,243
26,18,Arizona Diamondbacks,68.2156963467503,80,82,240
16,19,St. Louis Cardinals,66.98894086040413,78,84,234
24,20,Tampa Bay Rays,66.93016430050693,77,85,231
6,21,Miami Marlins,66.84023443052108,79,83,237
29,22,Athletics,64.29246737059887,76,86,228
1,23,Baltimore Orioles,63.73750034935843,75,87,225
21,24,Atlanta Braves,62.881368888001525,76,86,228
11,25,Los Angeles Angels,58.91953062835577,72,90,216
7,26,Pittsburgh Pirates,57.263959498151536,71,91,213
17,27,Minnesota Twins,54.92160640482104,70,92,210
4,28,Washington Nationals,49.505846274686995,66,96,198
10,29,Chicago White Sox,43.37672632724509,60,102,180
25,30,Colorado Rockies,27.14545142785788,43,119,129
