,Rank,Team,Index,Wins,Losses,Ties,Points
0,1,Inter Miami,100.0,23,5,8,77
27,2,LA Galaxy,88.31947329470822,21,8,7,70
2,3,LAFC,80.07549767697014,19,8,7,64
4,4,Columbus Crew,72.73449503281327,19,8,9,66
3,5,Seattle Sounders FC,68.94454724182503,18,9,9,63
1,6,Real Salt Lake,65.22575618678138,16,9,11,59
6,7,FC Cincinnati,55.622235322376625,19,12,5,62
18,8,Minnesota Utd,52.42686528561563,15,12,7,52
23,9,Charlotte,51.49694195989912,14,11,9,51
25,10,Houston Dynamo,49.782723604808325,15,12,9,54
10,11,Portland Timbers,46.562133963260365,12,12,11,47
28,12,Vancouver W'caps,46.42088315623383,14,13,8,50
24,13,NYCFC,45.90186806643001,14,12,8,50
9,14,NY Red Bulls,45.18982193151728,11,9,14,47
34,15,New York Red Bulls,45.180877912434816,2,0,0,6
19,16,Orlando City,45.13430554843806,16,13,7,55
11,17,Colorado Rapids,44.98198411074052,15,16,5,50
35,18,Minnesota United,44.70231707831168,2,0,0,6
17,19,Austin,37.2108581410018,11,14,9,42
21,20,FC Dallas,35.94884937914587,11,15,8,41
5,21,Atlanta Utd,35.437202002983696,11,14,10,43
20,22,CF Montréal,34.53779353459276,11,14,10,43
16,23,St. Louis,33.963600467358255,8,13,13,37
14,24,D.C. United,32.317058366764236,10,14,10,40
29,25,Atlanta United,28.899252810690715,1,1,0,3
12,26,Philadelphia Union,28.383131282798157,9,15,10,37
8,27,Nashville SC,27.44168305389128,9,16,9,36
31,28,New York City FC,25.7901820049018,1,1,0,3
30,29,Charlotte FC,25.131198482090397,1,1,0,3
7,30,Toronto FC,23.965629314848087,11,19,4,37
26,31,Sporting KC,23.814226897956605,8,19,7,31
13,32,Chicago Fire,21.12823784090853,7,18,9,30
32,33,Los Angeles FC,20.046965754042198,1,1,0,3
33,34,Vancouver Whitecaps FC,19.949690222156928,1,1,0,3
15,35,NE Revolution,18.24080307227968,9,21,4,31
22,36,SJ Earthquakes,11.827391424479364,6,25,3,21
