,Rank,Team,Index,Wins,Losses,Points
38,1,Ohio St.,100.0,36,5,108
30,2,Wisconsin,85.36823716520887,35,4,105
8,3,Penn St.,51.855925690947515,33,6,99
34,4,Northeastern,37.88507430175444,29,9,87
12,5,Minnesota,36.17094985543855,26,12,78
16,6,UConn,34.65505301118722,28,9,84
21,7,Quinnipiac,33.06669243023082,29,9,87
44,8,Yale,31.791474688455693,26,10,78
39,9,Princeton,26.390021560577818,23,11,69
1,10,Minn. Duluth,24.63221596179311,20,15,60
40,11,Cornell,21.66006774483958,20,11,60
0,12,Mercyhurst,17.02311006954049,23,11,69
24,13,Clarkson,16.825332709973242,20,12,60
37,14,Colgate,14.861891058744872,19,16,57
3,15,Minnesota St.,14.73530308985713,17,19,51
43,16,Brown,12.40155819690056,18,14,54
41,17,Harvard,11.696613316552872,16,15,48
4,18,St. Cloud St.,11.584747560620249,12,23,36
13,19,Boston College,10.372763159910305,16,18,48
20,20,Holy Cross,9.809865107874739,19,13,57
35,21,Vermont,9.317419126891638,16,17,48
7,22,St. Thomas (MN),8.842968585914493,12,23,36
11,23,New Hampshire,8.380119618400343,16,16,48
22,24,Maine,8.244178531027663,13,19,39
36,25,Boston U.,7.470669808790713,11,21,33
9,26,St. Lawrence,6.834456697963059,11,21,33
10,27,Syracuse,6.705529927404643,15,18,45
31,28,Providence,6.408610979600819,11,22,33
19,29,RIT,6.018203273347322,16,18,48
5,30,Lindenwood,4.36827943891443,14,21,42
29,31,Bemidji St.,4.199481469025355,6,27,18
17,32,Union (NY),4.124378511310408,11,22,33
18,33,Franklin Pierce,3.187857196658109,23,12,69
23,34,Merrimack,3.159557455355413,7,24,21
27,35,Robert Morris,3.027426267265151,13,21,39
42,36,Dartmouth,2.6962918353441476,5,23,15
33,37,Stonehill,2.0838220726944363,18,17,54
2,38,Rensselaer,2.0480344305569145,7,28,21
25,39,Saint Anselm,1.9222674693385962,19,18,57
28,40,Assumption,1.8788643461176193,19,16,57
15,41,LIU,1.6471547850374173,18,17,54
32,42,Sacred Heart,1.1268091780135596,13,21,39
6,43,Post,0.7547165643333827,11,25,33
14,44,Delaware,0.4583026935991383,2,31,6
26,45,Saint Michael's,0.09002499753973303,1,33,3
