,Rank,Team,Index,Wins,Losses,Points
27,1,Maryland,100.0,12,0,36
25,2,Navy,75.22781012195031,11,1,33
53,3,North Carolina,73.28892486301183,10,1,30
31,4,Michigan,68.74298527887002,9,2,27
126,5,Stony Brook,67.01069055696796,9,2,27
77,6,Stanford,66.02801769920126,10,2,30
65,7,Johns Hopkins University,63.632427191727764,10,3,30
26,8,Syracuse,61.60375882397893,9,3,27
118,9,Yale,60.50309375599825,9,1,27
59,10,Northwestern,57.610318579315596,8,3,24
101,11,Colorado,54.914689798636424,7,2,21
114,12,Florida,54.36831585375389,8,2,24
57,13,Army,53.087686735835504,8,2,24
79,14,Penn State,52.28481619214267,9,3,27
113,15,Denver,51.37013080795972,9,2,27
82,16,South Florida,47.00599562662342,7,2,21
78,17,Richmond,44.64495640160615,8,2,24
112,18,Loyola Maryland,44.31801015743448,8,4,24
9,19,Georgetown,42.741392261307475,7,3,21
56,20,Rutgers,42.33849494468811,7,4,21
30,21,Notre Dame,41.961082002722684,9,3,27
99,22,Villanova,41.00650091785146,7,3,21
128,23,Cornell,39.35097451573937,7,3,21
80,24,Clemson,38.40899052413937,9,4,27
55,25,Duke,36.97732209215899,9,4,27
14,26,Fairfield,36.25138494822181,8,3,24
36,27,Massachusetts,34.34126246254562,8,2,24
107,28,UAlbany,33.372636782712334,8,3,24
132,29,Princeton,33.0311461016666,4,4,12
58,30,Boston College,32.793245367698674,6,5,18
90,31,Davidson,32.60508426425102,9,2,27
70,32,Jacksonville,32.28419964112003,7,3,21
52,33,James Madison,32.0114102789256,6,5,18
66,34,Ohio State,31.483857712378438,7,4,21
102,35,VCU,28.801864179488422,8,3,24
23,36,Delaware,27.686736767575333,7,4,21
117,37,Pennsylvania,26.30373669792481,4,5,12
22,38,Temple,26.29550131177344,8,4,24
120,39,Dartmouth,25.71830222495261,6,4,18
24,40,Virginia,24.92083465169177,6,7,18
127,41,Le Moyne,23.903002060484013,9,2,27
93,42,USC,22.891370778460274,6,7,18
10,43,Marquette,21.928062927098953,7,4,21
71,44,Campbell,21.86726533136919,9,4,27
61,45,Bucknell,21.854503153126256,6,4,18
130,46,Brown,21.618770980303378,4,5,12
129,47,Harvard,21.599979268346434,4,5,12
