,Rank,Team,Index,Wins,Losses,Ties,Points,Mask
184,1,DBU,100.0,20,2,0,60,True
104,2,North Georgia,89.48910060926275,18,3,1,55,True
245,3,Catawba,88.44547628101297,17,1,4,55,True
66,4,West Florida,86.84640308986887,18,1,2,56,True
141,5,Grand Valley St.,82.63057751965252,19,2,1,58,True
238,6,Florida Tech,76.71908641161957,17,3,6,57,True
224,7,Minnesota St.,76.70045358193083,18,1,4,58,True
106,8,Nova Southeastern,76.41704114716644,16,1,4,52,True
195,9,Cal Poly Pomona,70.92605762082135,19,3,3,60,True
80,10,West Chester,67.71634100130902,16,3,4,52,True
282,11,Francis Marion,65.82320567259839,17,3,0,51,True
165,12,Lander,64.00710977544306,14,4,2,44,True
217,13,Franklin Pierce,62.915057200487375,17,3,5,56,True
52,14,Lenoir-Rhyne,62.270603159311236,13,5,3,42,True
242,15,Columbus St.,61.908226077717565,14,6,1,43,True
277,16,Jefferson,57.449916774417204,17,3,1,52,True
42,17,Saint Michael's,54.68719726894895,16,3,1,49,True
30,18,Shepherd,53.71491953624921,12,3,6,42,True
57,19,Gannon,52.80290053464904,16,3,2,50,True
109,20,Washburn,50.9737280200422,14,4,6,48,True
126,21,Western Wash.,50.01300978653893,14,1,7,49,True
210,22,St. Cloud St.,49.95447431503437,16,3,5,53,True
13,23,Colo. Sch. of Mines,49.894010556351894,14,2,6,48,True
159,24,UCCS,49.686387108931015,14,3,6,48,True
247,25,Bemidji St.,48.99446716865959,14,3,4,46,True
61,26,Texas Woman's,48.91608856269521,16,4,3,51,True
140,27,Ashland,48.826948218954136,14,3,5,47,True
190,28,Colorado Mesa,47.835546499557815,14,4,2,44,True
53,29,Lee,47.63975405068121,11,4,3,36,True
131,30,Mo.-St. Louis,47.35917439896055,15,5,2,47,True
102,31,Belmont Abbey,46.67080186845153,16,5,1,49,True
69,32,Kutztown,45.71210786871138,13,6,1,40,True
287,33,Saint Anselm,44.56052694781014,10,3,5,35,True
132,34,Pittsburg St.,44.24387101661777,14,4,2,44,True
108,35,Maryville (MO),43.56112459891489,13,3,6,45,True
121,36,Anderson (SC),43.30335288768841,11,6,2,35,True
44,37,Mercy,42.72174154520711,14,4,3,45,True
122,38,Montevallo,42.30757173863131,13,7,2,41,True
167,39,Cedarville,41.885637344085566,12,3,7,43,True
138,40,McKendree,41.41322055359042,13,2,6,45,True
286,41,Fairmont St.,40.90052910340732,17,2,3,54,True
17,42,Simon Fraser,39.99922260102313,14,5,5,47,True
62,43,Indiana (PA),39.946259884242906,14,3,2,44,True
173,44,Coker,39.7867221914223,10,4,4,34,True
196,45,Azusa Pacific,38.78790029858352,12,4,5,41,True
246,46,Missouri Western,38.61784227374066,12,3,7,43,True
208,47,Northwood,38.02803157723554,11,3,6,39,True
267,48,Slippery Rock,35.72627011056177,12,4,1,37,True
221,49,Central Mo.,35.66429818621225,11,6,4,37,True
32,50,Concordia-St. Paul,35.350391135756844,12,4,5,41,True
243,51,Embry-Riddle (FL),35.249998020376715,6,3,9,27,True
