,Rank,Team,Index,Wins,Losses,Points
23,1,Maryland,100.0,6,0,18
53,2,Army West Point,91.10269778168339,6,0,18
40,3,Fairfield,90.74381580014897,7,0,21
68,4,Princeton,83.63445498523554,4,1,12
48,5,North Carolina,77.71137152631842,5,1,15
1,6,Penn St.,76.96047663715618,5,1,15
13,7,Duke,76.34796743539684,6,1,18
67,8,Harvard,67.7737591068834,4,1,12
32,9,Johns Hopkins,67.36105359944418,5,1,15
71,10,Cornell,66.63166749594403,4,1,12
19,11,Ohio St.,66.56090313817117,7,1,21
60,12,Boston U.,64.34470852142228,5,1,15
54,13,Massachusetts,63.04640844635951,5,1,15
0,14,Colgate,61.697884800158526,5,2,15
75,15,Dartmouth,60.738726796984466,5,1,15
22,16,Richmond,56.513193623855216,5,2,15
36,17,LIU,53.4820971527316,5,1,15
29,18,Syracuse,49.676536153168755,4,2,12
34,19,VMI,48.97735973906755,6,1,18
77,20,St. Joseph's (ME),48.02286694494107,1,0,3
7,21,Georgetown,48.006656563277176,4,2,12
64,22,Notre Dame,46.64469185014982,3,2,9
46,23,Stony Brook,46.30700983558007,4,2,12
10,24,Navy,45.556819421528196,4,2,12
57,25,Sacred Heart,45.47006209359508,4,2,12
28,26,Jacksonville,42.68495976923462,5,2,15
58,27,Saint Joseph's,42.583222011019984,3,2,9
25,28,Michigan,41.170443102196025,4,3,12
70,29,Penn,40.03697884073825,3,3,9
45,30,Delaware,38.866199535266766,3,2,9
49,31,Virginia,37.52902901271585,3,3,9
21,32,Providence,36.67595405781217,4,3,12
3,33,Lafayette,36.37396515131776,4,3,12
33,34,Denver,33.12086096746761,4,3,12
69,35,Brown,31.866776172141602,2,3,6
24,36,Marquette,31.82356983503831,3,3,9
4,37,Hofstra,31.50668058483432,4,2,12
8,38,Rutgers,30.7593639711295,3,4,9
61,39,Siena,29.15916411507206,2,3,6
76,40,Le Moyne,28.29483766763759,3,2,9
41,41,Vermont,27.743703389430106,2,3,6
47,42,Bryant,27.351391277583915,4,3,12
26,43,Manhattan,27.350222797549694,3,3,9
9,44,Lehigh,25.773157014128696,2,4,6
56,45,Robert Morris,25.67248736095189,3,3,9
73,46,UMBC,25.4998099530325,2,2,6
11,47,High Point,24.21616381313813,2,4,6
12,48,Bellarmine,22.45320942465763,4,5,12
72,49,Yale,21.199372813190497,1,3,3
55,50,Marist,20.897245132307567,3,3,9
66,51,UAlbany,20.60905583205537,2,4,6
62,52,Villanova,18.926565757596386,2,4,6
2,53,Air Force,17.77488819321626,2,5,6
35,54,St. Bonaventure,17.740390649406287,4,4,12
20,55,Holy Cross,17.216883939166625,3,5,9
44,56,Monmouth,17.088828107023428,3,4,9
15,57,Bucknell,17.00870239176803,2,4,6
39,58,UMass Lowell,16.806937292362157,3,3,9
74,59,Drexel,16.600290067857014,3,4,9
59,60,Cleveland St.,15.922465710060832,2,5,6
43,61,Hobart,14.78065030034309,2,4,6
18,62,Utah,14.705810645882037,1,5,3
37,63,Towson,14.643121929420357,1,5,3
38,64,Detroit Mercy,14.420203790938746,1,3,3
31,65,Queens (NC),10.73660662763147,2,5,6
51,66,St. John's (NY),10.327914250557882,2,6,6
14,67,Merrimack,8.325289246562043,1,5,3
65,68,Quinnipiac,8.158436807414645,1,5,3
42,69,Canisius,7.748306999114276,1,6,3
63,70,Binghamton,7.219894787373337,0,4,0
6,71,Loyola Maryland,7.1491903127455005,0,6,0
30,72,Mount St. Mary's,7.058750486090451,2,5,6
52,73,NJIT,5.934150998912013,1,4,3
50,74,Mercyhurst,5.46969880029822,1,5,3
5,75,Iona,5.44680597791982,1,7,3
16,76,Mercer,5.27302711729424,1,6,3
27,77,Wagner,1.6334471963545876,0,7,0
17,78,Hampton,1.265895701927162,0,6,0
