,Rank,Team,Index,Wins,Losses,Points
265,1,Arizona,100.0,35,2,105
404,2,Michigan,92.09475945466369,34,3,102
34,3,Duke,89.92611638054419,35,3,105
225,4,UConn,74.61045845142685,32,5,96
365,5,Gonzaga,63.49560273924838,30,4,90
233,6,Miami (OH),63.09933006620121,31,2,93
308,7,Houston,59.559395062205276,29,7,87
0,8,Purdue,59.49114913484535,30,9,90
193,9,Virginia,57.218651207602875,29,6,87
278,10,St. John's (NY),56.83342627950525,29,7,87
245,11,Utah St.,55.228547221165464,28,7,84
345,12,Michigan St.,53.861104186530895,26,8,78
253,13,Illinois,53.765919714463685,27,8,81
131,14,Florida,53.43478597128844,27,7,81
144,15,Iowa St.,53.31147227430349,28,8,84
289,16,Nebraska,52.42848043159217,27,7,81
328,17,Vanderbilt,50.91570759189338,26,9,78
346,18,Arkansas,48.879254618876764,27,9,81
146,19,Saint Louis,47.81120992069327,27,6,81
246,20,VCU,47.537943955355914,27,8,81
279,21,Alabama,47.015311467009255,24,10,72
191,22,Kansas,44.65364779882475,23,11,69
276,23,Saint Mary's (CA),44.27259375871666,25,6,75
18,24,Texas Tech,43.780352124928775,23,11,69
347,25,Villanova,42.58729618016807,24,8,72
313,26,Tennessee,41.774063544848886,24,12,72
190,27,North Carolina,40.82210301099463,23,9,69
271,28,McNeese,40.42840996885763,26,6,78
178,29,Tulsa,40.39058232648827,27,7,81
353,30,Belmont,40.31423417203572,25,6,75
280,31,Akron,40.21172747969253,27,6,81
107,32,Miami (FL),40.208102433798885,25,9,75
270,33,Santa Clara,38.6493539005036,25,9,75
112,34,Louisville,38.53754567378388,23,11,69
336,35,High Point,38.44929097454959,29,5,87
358,36,BYU,38.26156408971329,22,12,66
257,37,Wisconsin,36.661156405446874,23,11,69
156,38,TCU,35.94337747292126,23,11,69
291,39,South Fla.,35.67058393307314,23,9,69
251,40,Yale,34.99678747193709,22,7,66
200,41,Clemson,34.68829184423299,23,11,69
32,42,Iowa,34.3117133543139,24,13,72
272,43,UCLA,34.23895472189429,23,12,69
391,44,UNCW,34.00950490837861,26,7,78
211,45,SFA,33.93985338976982,27,6,81
173,46,Liberty,33.681919347262266,25,8,75
91,47,New Mexico,33.32663775075611,26,10,78
298,48,Dayton,31.738650432467708,24,12,72
40,49,San Diego St.,31.379542827029248,22,11,66
10,50,Kentucky,30.320534448033577,22,14,66
275,51,California Baptist,30.196659843756244,24,9,72
327,52,UCF,29.69787442022113,20,12,60
154,53,Texas A&M,28.963681016577578,21,12,63
70,54,Georgia,28.439468141860857,21,11,63
325,55,Boise St.,28.114593351741846,20,11,60
28,56,Utah Valley,28.092354193041135,24,9,72
196,57,Hofstra,27.767471109029902,22,10,66
213,58,Kent St.,27.586493619288195,23,9,69
16,59,Wichita St.,27.514197017732776,24,12,72
183,60,Ohio St.,27.367125243354742,20,13,60
48,61,Nevada,27.227642638049808,24,13,72
35,62,Texas,26.049936212247186,21,15,63
231,63,Seton Hall,25.96246301092273,20,12,60
96,64,North Dakota St.,25.861059643773846,24,7,72
266,65,NC State,25.778913633144278,19,14,57
221,66,George Mason,25.542565259912706,21,10,63
283,67,Saint Joseph's,25.477708693180062,21,12,63
46,68,Stanford,24.996214327812343,20,12,60
139,69,SMU,24.79652849070142,19,14,57
135,70,UNI,24.389630101122087,23,13,69
150,71,Auburn,23.91590103830696,19,16,57
51,72,Hawaii,23.680771017600375,22,9,66
239,73,Missouri,23.593646211821152,19,13,57
162,74,California,23.338790384041513,21,12,63
319,75,Virginia Tech,23.119399820657666,18,13,54
119,76,Illinois St.,22.790635100140893,22,12,66
151,77,Merrimack,22.673883632137656,23,10,69
26,78,Oklahoma St.,22.224323672511588,20,15,60
263,79,Grand Canyon,21.86682648925976,19,12,57
38,80,Arizona St.,21.754109482477354,17,16,51
354,81,Tennessee St.,21.664299367274218,22,10,66
174,82,Col. of Charleston,21.35453432131624,20,11,60
360,83,UC San Diego,20.876559657518342,22,11,66
380,84,Colorado St.,20.84354144651838,19,13,57
366,85,Oklahoma,20.804568293740697,18,15,54
381,86,Southern California,20.667121275453386,16,14,48
163,87,Wright St.,20.449523461587475,22,12,66
8,88,Florida St.,20.367383584613528,18,15,54
77,89,Indiana,20.34871353375089,18,14,54
222,90,Winthrop,20.139409928745536,21,11,63
324,91,Austin Peay,19.79939177067356,21,9,63
247,92,Murray St.,19.633712467784413,19,13,57
274,93,UC Irvine,19.47783958332296,22,12,66
204,94,Troy,19.35767829900929,20,12,60
249,95,Sam Houston,19.307040602403212,20,12,60
205,96,Cincinnati,19.21004063319914,17,15,51
4,97,West Virginia,18.707465093977387,18,14,54
355,98,St. Thomas (MN),18.657671755671387,21,9,63
372,99,Penn,18.38233306601988,17,12,51
350,100,Bradley,18.28203436472303,20,12,60
267,101,UAB,18.252505426626225,19,12,57
198,102,Wake Forest,18.1612828737795,17,17,51
326,103,William & Mary,18.084456000402135,19,12,57
250,104,Navy,18.00313837885993,24,8,72
331,105,Colorado,17.968926738777974,16,15,48
33,106,Robert Morris,17.961828935607507,20,11,60
186,107,Siena,17.8413466882457,22,12,66
42,108,UNLV,17.604580960426176,18,17,54
296,109,Toledo,17.365576085412307,18,14,54
385,110,Baylor,17.249832640500806,15,16,45
339,111,ETSU,17.000135011648712,21,11,63
203,112,Furman,16.923485847562866,21,12,63
217,113,Davidson,16.821770902146927,19,14,57
292,114,George Washington,16.65644511513369,18,16,54
348,115,Queens (NC),16.458130389668074,20,13,60
106,116,LIU,16.45220501151433,24,10,72
43,117,UT Martin,16.42324219443453,22,11,66
306,118,Central Ark.,16.37084377545756,21,11,63
332,119,UT Arlington,16.36326645558953,17,14,51
47,120,Portland St.,16.234190000752523,19,11,57
288,121,Kennesaw St.,16.186359883986814,19,14,57
212,122,Arkansas St.,15.898648575771341,17,12,51
207,123,Coastal Carolina,15.877750760144556,19,12,57
309,124,Towson,15.77901648601944,17,15,51
316,125,Wyoming,15.621772385843677,17,15,51
297,126,Marshall,15.549525497099587,17,13,51
136,127,CSUN,15.458963590753424,19,14,57
223,128,Duquesne,15.429912782565351,17,15,51
303,129,Fairfield,15.322630151731799,21,12,63
160,130,Washington,15.09548244518039,15,17,45
60,131,App State,14.931418341481233,19,12,57
83,132,Creighton,14.853180735880729,15,17,45
114,133,Quinnipiac,14.838990331636845,19,12,57
376,134,Marist,14.786948210298734,18,11,54
62,135,Butler,14.733605059122347,16,16,48
176,136,Georgetown,14.572963637299889,15,18,45
143,137,South Alabama,14.365856914195621,18,12,54
87,138,Utah Tech,14.355973668909556,18,15,54
241,139,Northern Colo.,14.242512243481563,18,12,54
286,140,Syracuse,14.23090087140741,14,17,42
152,141,North Texas,14.226094357412572,17,14,51
