,Rank,Team,Index,Wins,Losses,Points
5,1,UConn,100.0,25,0,75
115,2,UCLA,98.6304281109916,22,1,66
256,3,Texas,86.85396709722197,21,2,63
235,4,South Carolina,85.85616601015995,23,2,69
358,5,Vanderbilt,75.64303684100368,21,2,63
320,6,Ohio St.,71.10915690659493,22,3,66
330,7,Princeton,69.29345304547032,19,2,57
52,8,LSU,67.8780465169215,22,3,66
4,9,Louisville,65.35009635547883,22,4,66
28,10,Michigan,64.9809100082453,20,4,60
162,11,Texas Tech,60.43105073180071,21,3,63
341,12,Baylor,59.021493050578044,20,4,60
181,13,TCU,57.29399626488056,21,4,63
338,14,Iowa,57.21619859188152,17,5,51
325,15,Duke,56.37132361367575,18,5,54
214,16,Rhode Island,56.331753392879605,19,2,57
239,17,West Virginia,55.665366919871914,19,5,57
253,18,Ole Miss,53.6272060147289,18,5,54
20,19,Michigan St.,53.48032467578857,20,4,60
147,20,Alabama,51.8490379345382,19,5,57
149,21,North Carolina,50.56095245880376,19,5,57
6,22,Richmond,49.264968386222904,20,4,60
2,23,Tennessee,49.25323055651777,15,6,45
254,24,North Dakota St.,47.32209642981897,19,2,57
123,25,Maryland,46.671528367665196,18,6,54
266,26,Rice,46.403855121674276,20,3,60
208,27,Murray St.,45.45883491375929,19,3,57
78,28,Villanova,44.72491573715341,18,5,54
364,29,Oklahoma,44.34434721112791,16,5,48
139,30,Kentucky,44.16948587817377,17,6,51
301,31,Arizona St.,43.906024151677734,18,6,54
3,32,NC State,42.875520503151286,17,7,51
362,33,Washington,42.68345356891605,17,6,51
54,34,Minnesota,41.952347159054966,18,6,54
143,35,Georgia,40.821105455451956,18,5,54
84,36,Iowa St.,40.31889840362871,18,5,54
111,37,Troy,40.26214569796338,18,5,54
34,38,Syracuse,39.19713835868113,19,5,57
90,39,Oklahoma St.,38.481985196302986,17,6,51
189,40,Arkansas St.,38.29637302281296,19,4,57
383,41,San Diego St.,37.24944270575926,17,3,51
304,42,Oregon,37.04014561225336,17,8,51
179,43,Colorado,35.9345804912363,16,8,48
148,44,McNeese,35.18833304950515,18,4,54
60,45,Southern California,34.02024859058376,15,9,45
264,46,Utah,33.585460180830026,15,8,45
130,47,Green Bay,33.188430475630256,19,5,57
275,48,High Point,33.03302787167113,20,3,60
79,49,Fairfield,32.97932780359988,20,4,60
40,50,Illinois,32.85234651787839,16,8,48
138,51,George Mason,32.56775469777361,15,6,45
185,52,Col. of Charleston,32.4797548515136,17,3,51
309,53,Nebraska,31.772926402116635,15,8,45
265,54,South Dakota St.,31.681085987489947,17,6,51
270,55,Montana St.,31.527558644196123,15,6,45
213,56,Columbia,31.364477286029487,15,6,45
255,57,Gonzaga,31.348753033251782,18,7,54
352,58,Miami (OH),31.1257552143295,16,4,48
131,59,Marshall,30.939100295951867,19,6,57
343,60,Boise St.,30.222189483003344,18,5,54
322,61,Ball St.,29.966192395176407,17,5,51
190,62,Eastern Ky.,29.822739883904177,19,4,57
268,63,St. John's (NY),29.06356069283216,18,7,54
375,64,Vermont,28.818003884815003,18,6,54
47,65,Louisiana Tech,28.707850400032704,16,5,48
100,66,BYU,28.435067499234762,16,8,48
12,67,Virginia Tech,28.39410734374149,18,7,54
137,68,James Madison,28.329859432305074,17,8,51
128,69,Ga. Southern,28.32390913567639,16,6,48
370,70,Western Ill.,28.22418057415601,16,4,48
183,71,Stanford,28.082959036743837,15,9,45
192,72,Mississippi St.,27.734338820346757,15,8,45
76,73,Notre Dame,27.563878116268537,15,9,45
50,74,Colorado St.,26.88863008427926,17,6,51
32,75,Seton Hall,26.724821237798036,15,8,45
70,76,UC Irvine,26.15698924822837,19,4,57
44,77,Virginia,26.142271464533348,17,7,51
282,78,Massachusetts,25.226150171206193,15,5,45
80,79,Kansas,25.134099224802593,15,10,45
161,80,Clemson,24.951859726342757,16,8,48
102,81,UNLV,24.852429205188507,16,7,48
363,82,Oregon St.,24.50802991614043,16,8,48
197,83,Idaho,24.064509049178433,16,5,48
290,84,Army West Point,23.511627041963134,17,5,51
68,85,Lindenwood,23.43298966110995,17,7,51
350,86,California,23.42013053550685,15,9,45
271,87,UC San Diego,23.173333683662406,16,5,48
184,88,Santa Clara,23.138031659120355,17,7,51
245,89,Belmont,22.969203453503226,14,8,42
164,90,Davidson,22.93958601835392,16,9,48
288,91,Marquette,22.65018624494326,14,8,42
159,92,Quinnipiac,22.586021269213,19,4,57
171,93,Missouri,22.265191725811555,15,10,45
368,94,Binghamton,22.072504229711484,15,6,45
303,95,Kansas St.,22.040865750403277,12,12,36
42,96,Saint Joseph's,21.60543779425266,14,8,42
77,97,FDU,21.199993732379067,20,3,60
196,98,UC Davis,21.163237422335957,16,7,48
267,99,Harvard,21.142178798754895,13,8,39
24,100,Indiana,21.040818258963228,14,11,42
194,101,South Dakota,20.854296443230403,17,6,51
27,102,Howard,20.115685643729172,17,7,51
180,103,New Mexico,19.79770869402877,15,8,45
116,104,UC Santa Barbara,19.533777591371184,15,6,45
117,105,Florida,19.45042083376496,14,11,42
207,106,Southern Ind.,19.41635809806232,15,7,45
237,107,Abilene Christian,19.3734811030988,15,7,45
357,108,Jacksonville,19.331110244387304,13,7,39
98,109,Texas A&M,19.022043289010345,9,10,27
38,110,Idaho St.,18.711227760747022,16,7,48
376,111,Old Dominion,18.61214403374724,14,9,42
82,112,Tulsa,18.332699570729307,16,7,48
284,113,Auburn,18.286692141561172,12,12,36
118,114,Chattanooga,18.149164738194322,15,6,45
92,115,Wisconsin,17.854555286714657,13,11,39
351,116,Penn,17.647434012163814,12,8,36
349,117,Sam Houston,17.56176232093906,11,7,33
294,118,California Baptist,17.561421402148397,15,8,45
198,119,East Carolina,17.46507058864572,16,7,48
277,120,Longwood,17.08535163865643,14,6,42
243,121,Navy,17.074766004497338,15,6,45
377,122,Central Mich.,16.982403532321175,13,7,39
229,123,South Fla.,16.960207811680988,13,10,39
246,124,Brown,16.869586577361087,12,7,36
295,125,Northern Colo.,16.70513966507959,15,8,45
223,126,Morehead St.,15.560341431689334,14,9,42
106,127,Miami (FL),15.287286935771766,11,12,33
94,128,LMU (CA),15.21158929435138,15,8,45
300,129,Southern Utah,15.15725161118397,14,8,42
248,130,Missouri St.,15.154689715036886,14,8,42
140,131,Monmouth,15.106907368867295,14,7,42
30,132,Bradley,14.952779503398045,16,8,48
259,133,Youngstown St.,14.621265662235693,16,8,48
326,134,Holy Cross,14.508529324005297,13,9,39
88,135,San Francisco,14.423536803629142,14,10,42
58,136,Portland,14.118128801615038,13,10,39
345,137,Creighton,14.098150722856083,12,11,36
390,138,FIU,13.965595718060376,13,7,39
151,139,Purdue,13.95136447470764,10,13,30
296,140,Lamar University,13.80452751208664,14,8,42
63,141,Pepperdine,13.760460295059369,13,9,39
142,142,Campbell,13.739940050174562,15,8,45
337,143,UT Martin,13.424554314161176,12,9,36
234,144,North Texas,13.386102498369269,12,10,36
11,145,Drexel,13.155412129938314,13,8,39
