,Rank,Team,Index,Wins,Losses,Ties,Points
127,1,Ohio St.,100.0,16,2,4,52
53,2,Clemson,87.54160152673592,15,3,4,49
110,3,Denver,85.35498253387739,15,3,5,50
135,4,Pittsburgh,84.67229918596836,14,6,0,42
105,5,Marshall,84.16416034108069,15,1,7,52
149,6,SMU,79.63365190642541,12,3,6,42
59,7,Wake Forest,74.50258229059266,12,5,7,43
79,8,Dayton,71.69683337245122,14,3,3,45
158,9,Duke,69.97444997191778,10,4,4,34
24,10,Vermont,69.89712479196952,15,2,6,51
55,11,Hofstra,68.85679120844692,14,5,2,44
77,12,West Virginia,68.038509541487,13,2,7,46
159,13,San Diego,67.56559421447699,15,3,2,47
33,14,NC State,65.87085931741842,10,5,5,35
160,15,Missouri St.,65.16871505503181,12,4,2,38
165,16,Stanford,64.28930558319736,9,5,6,33
184,17,Indiana,63.62982529739393,11,5,5,38
87,18,Virginia,63.48240381491857,10,7,3,33
130,19,Kansas City,62.109247980912876,13,5,3,42
211,20,Penn,61.62132181716948,14,4,1,43
66,21,North Carolina,60.69190947319408,9,4,5,32
25,22,Western Mich.,59.801934982251524,11,3,6,39
73,23,Michigan,59.5549400919981,9,5,7,34
20,24,Massachusetts,58.11150654839811,13,4,5,44
209,25,Cornell,57.424369995910446,13,4,2,41
181,26,Charlotte,56.781582242746346,11,3,5,38
89,27,Providence,56.34245861098335,13,6,3,42
134,28,Georgetown,56.03994563924229,11,5,5,38
128,29,Akron,55.48858276876925,12,5,4,40
119,30,Wisconsin,54.503642024713436,7,5,3,24
188,31,Washington,54.32113180634574,8,6,7,31
94,32,George Mason,54.286715144128,13,4,1,40
133,33,Northwestern,53.87545293528758,9,7,1,28
129,34,Notre Dame,53.66775936242476,7,5,5,26
98,35,Maryland,53.37888920231007,9,6,5,32
179,36,Bowling Green,51.16781769567695,12,6,2,38
83,37,South Carolina,51.153422173888835,11,5,2,35
177,38,Monmouth,51.07744124447062,8,2,6,30
47,39,UNC Greensboro,50.963945917773685,10,3,5,35
85,40,Virginia Tech,49.93360706835376,7,6,4,25
161,41,UC Santa Barbara,49.48294104749098,12,5,5,41
167,42,Oregon St.,48.43737414519769,10,5,3,33
192,43,Drake,48.40813907793373,8,5,3,27
111,44,California,47.54208287113357,7,8,2,23
32,45,High Point,47.07379525412839,12,4,2,38
190,46,Duquesne,46.89093480896402,10,4,2,32
151,47,UCLA,46.54003432170353,6,6,6,24
62,48,Seattle U,46.51273111570359,12,4,4,40
207,49,Princeton,46.35124823578006,12,7,0,36
64,50,Seton Hall,45.5752827565633,11,6,1,34
154,51,James Madison,45.47899827080066,8,5,6,30
70,52,Evansville,45.2201483571668,11,7,3,36
61,53,Elon,45.06742376084028,10,7,1,31
80,54,Syracuse,44.49002157771339,7,7,3,24
