,Rank,Team,Index,Wins,Losses,Points
41,1,Hobart,100.0,29,0,87
89,2,Hamilton,59.66205136983371,21,5,63
3,3,Aurora,57.733518846068854,25,5,75
84,4,Wis.-Stout,54.7048256066355,23,5,69
87,5,Bowdoin,49.315605781477366,18,7,54
38,6,Utica,49.101886051590995,20,8,60
58,7,St. Norbert,48.87883989276066,22,7,66
39,8,Adrian,45.59925003586052,20,7,60
46,9,Salve Regina,43.79622347263141,19,4,57
11,10,Babson,43.35119393390857,20,5,60
78,11,Endicott,43.14914615695109,21,4,63
13,12,U New England,41.50302416845638,21,7,63
70,13,SUNY Geneseo,38.45503096383901,18,8,54
71,14,Norwich,37.60788713485115,19,6,57
82,15,Oswego St.,37.244025811910525,19,7,57
88,16,Middlebury,35.6553491330346,15,9,45
0,17,Chatham,35.45629694966118,20,6,60
17,18,Nazareth,32.78480903993415,16,8,48
35,19,Trine,31.51349183086948,18,8,54
85,20,Gustavus Adolphus,31.181077716764303,18,8,54
57,21,Saint John's (MN),29.541708355275986,17,7,51
86,22,Wis.-Eau Claire,28.48871859781868,16,8,48
90,23,Amherst,26.605058413205743,12,11,36
91,24,Tufts,25.83918470410282,12,12,36
7,25,Anna Maria,25.05992570342353,19,6,57
72,26,Curry,24.035359205567442,16,9,48
66,27,Suffolk,23.808252243352435,17,9,51
94,28,Trinity (CT),22.97572483249894,12,11,36
96,29,Williams,22.542292897429235,12,14,36
5,30,Albertus Magnus,22.46493727996205,16,10,48
12,31,Plymouth St.,22.018976401834408,15,11,45
22,32,Skidmore,20.592517443284912,15,10,45
95,33,Colby,19.51244227007985,10,12,30
79,34,UMass Boston,19.268933161985274,15,10,45
16,35,Neumann,18.880076060902432,17,9,51
59,36,St. Olaf,18.666005014615912,12,9,36
61,37,Saint Mary's (MN),18.65326285445147,14,10,42
10,38,Fitchburg St.,18.54000022220239,17,9,51
48,39,UW-River Falls,18.02259948496453,14,12,42
93,40,Connecticut Col.,17.796460482734123,10,14,30
74,41,Southern N.H.,17.62222697302713,4,2,12
76,42,Bethel (MN),17.510987145810006,14,12,42
69,43,Wis.-Superior,17.382630201757223,13,11,39
42,44,Stevenson,16.848886429547136,16,10,48
8,45,Wilkes,16.686469779768604,15,8,45
63,46,Westfield St.,16.57397817564986,18,8,54
44,47,Assumption,15.907762108343736,6,4,18
29,48,VTSU Castleton,15.07764269405649,13,11,39
53,49,Wis.-Stevens Point,15.076969076897553,12,13,36
15,50,Saint Michael's,14.968836618253423,5,4,15
20,51,Cortland,14.964297076286044,14,12,42
92,52,Wesleyan (CT),14.933105373729614,9,16,27
28,53,Plattsburgh St.,14.536543050581255,13,13,39
31,54,Alvernia,14.172285582563973,15,11,45
19,55,St. John Fisher,13.978169096793186,11,12,33
47,56,Southern Me.,13.712786195030189,12,13,36
55,57,MSOE,12.781183907763745,10,14,30
50,58,Concordia-M'head,11.659233137827218,10,12,30
34,59,SUNY Canton,11.645811958994717,12,13,36
6,60,Nichols,10.83322536593705,11,15,33
25,61,UMass Dartmouth,10.28848947688586,12,13,36
56,62,Marian (WI),10.24317665102675,9,15,27
43,63,SUNY Brockport,9.999170060845225,10,16,30
51,64,Concordia Wisconsin,9.28064900538685,10,16,30
26,65,JWU (Providence),8.060730403881262,8,15,24
2,66,Augsburg,7.254332044979264,7,15,21
73,67,New England Col.,7.16545901914796,9,16,27
40,68,Elmira,7.102688879457999,6,18,18
67,69,Salem St.,6.970648969297784,8,13,24
52,70,Dubuque,6.835647842711547,6,17,18
45,71,Worcester St.,6.592549419300455,10,12,30
81,72,Arcadia,6.33684867731922,8,12,24
18,73,Buffalo St.,6.331055251652187,9,16,27
60,74,Lake Forest,6.065285037955288,6,19,18
21,75,Lebanon Valley,5.9727883844475285,8,14,24
23,76,Wentworth,5.429419282822065,6,17,18
83,77,Hamline,5.205088679932633,4,18,12
33,78,Keene St.,5.122044787775173,7,17,21
9,79,Manhattanville,5.003924701786157,4,20,12
37,80,SUNY Potsdam,4.968828895790585,7,16,21
54,81,St. Scholastica,4.586521241743743,6,18,18
49,82,Lawrence,4.577467466780004,6,18,18
24,83,Roger Williams,4.218919767966758,6,18,18
14,84,MCLA,3.965431197319465,8,16,24
62,85,Western New Eng.,3.7271634540518734,6,19,18
80,86,King's (PA),3.6436326338936595,4,17,12
32,87,Saint Anselm,3.4939294931189098,1,6,3
64,88,Misericordia,3.3138980481152265,5,19,15
68,89,Franklin Pierce,3.2152150598959985,2,7,6
75,90,Framingham St.,3.0473850524181194,7,18,21
36,91,Fredonia,2.580733702798282,4,21,12
30,92,SUNY Morrisville,2.3877178942967747,2,20,6
65,93,Post,2.176037242367626,1,6,3
77,94,Beloit,1.798628820118881,4,20,12
27,95,Rivier,1.2731647428915398,2,22,6
4,96,WestConn,1.2422351420347235,2,23,6
1,97,Hiram,0.8110121096732869,1,20,3
