,Rank,Team,Index,Wins,Losses,Points
10,1,Tampa,100.0,18,0,54
44,2,Adelphi,82.4783784127393,15,1,45
83,3,St. Anselm,70.35125877649746,12,1,36
16,4,Limestone,61.03755689292994,15,2,45
55,5,Seton Hill,55.52543707601791,17,1,51
24,6,Lenoir-Rhyne,54.79078996964108,14,3,42
29,7,Flagler,49.100439489611745,14,3,42
72,8,Pace,45.06238741305415,11,4,33
15,9,Anderson (SC),40.43469003196435,13,4,39
21,10,Wingate,39.82128852057424,14,4,42
51,11,Colorado Mesa,36.22173825069536,13,3,39
25,12,Maryville (MO),35.63907892083294,12,4,36
56,13,Molloy,34.87155219954655,15,4,45
33,14,Rollins,31.592906220155037,10,8,30
26,15,Oglethorpe,29.71950951354404,1,0,3
67,16,Assumption,29.33775320354041,10,4,30
30,17,Tenn. Wesleyan,29.2433330707061,1,0,3
48,18,Lynn,28.903996733952884,10,5,30
79,19,Greensboro,27.835011844227505,1,0,3
85,20,Cumberlands (KY),27.66724045415596,1,0,3
74,21,Bentley,27.273934946952483,8,6,24
31,22,Lewis,26.03404743343088,12,5,36
59,23,Mercy,25.588866350890957,10,4,30
28,24,Embry-Riddle (FL),25.557048256635746,9,7,27
23,25,North Greenville,22.90799396032098,12,5,36
18,26,Belmont Abbey,22.42265919875164,11,4,33
47,27,Saint Leo,20.993759205022624,9,7,27
61,28,Wilmington (DE),20.479128070072885,11,4,33
69,29,Farmingdale St.,20.19518436650227,0,1,0
50,30,CUI,18.966296333470034,8,7,24
32,31,Newberry,17.734730121669074,10,7,30
13,32,Montevallo,16.38042297626129,10,6,30
7,33,UIndy,15.925999082149199,7,8,21
45,34,Georgian Court,15.727438207994231,12,6,36
70,35,Westminster (UT),14.879358938424794,7,7,21
8,36,Lander,14.30567330791117,9,7,27
37,37,Rockhurst,13.506291081371952,7,6,21
0,38,Catawba,12.961413499229607,9,7,27
77,39,Saint Michael's,12.709328963591892,7,6,21
86,40,Montreat,12.365288153509,0,1,0
11,41,Florida Tech,12.020617390015287,6,10,18
81,42,Rosemont,11.80560872796753,0,1,0
63,43,Palm Beach Atl.,11.605993172277342,4,7,12
52,44,Chestnut Hill,10.679781354175294,7,6,21
19,45,Mars Hill,8.566013181464617,8,8,24
17,46,Fla. Southern,8.199667465868721,3,11,9
82,47,Earlham,8.001799657940172,0,1,0
71,48,Frostburg St.,6.91177801749935,7,9,21
36,49,Mount Olive,6.875965257100184,7,7,21
60,50,Lake Erie,6.666983905395861,7,7,21
62,51,Walsh,6.563770457709125,10,8,30
9,52,Coker,6.462657832774243,7,9,21
43,53,Southern N.H.,6.33765628178394,5,9,15
68,54,Post,6.153243181066036,9,7,27
38,55,Quincy,5.1219146843539045,4,6,12
22,56,Lincoln Memorial,5.092403765259134,4,10,12
53,57,Wheeling,4.73869803650668,8,7,24
75,58,Bridgeport,4.609006287809499,7,8,21
12,59,Emmanuel (GA),4.409564495768802,8,7,24
54,60,Roberts Wesleyan,3.943669281619896,6,8,18
40,61,Barton,3.9333408588235574,5,10,15
3,62,D'Youville,3.8093743047397672,6,8,18
6,63,Davenport,3.7074274884534377,6,9,18
14,64,Young Harris,3.6350666340269044,6,9,18
57,65,Holy Family,3.33817950521148,9,7,27
65,66,Dominican (CA),3.262689200906088,2,10,6
46,67,Northwood,2.65200938286273,5,9,15
58,68,Franklin Pierce,2.5849139795723772,2,10,6
27,69,Shorter,1.957952735139581,0,3,0
41,70,Tusculum,1.8745046996782369,5,11,15
39,71,Alabama Huntsville,1.8396077295983384,2,14,6
73,72,St. Thomas Aquinas,1.679910432479717,4,10,12
35,73,Malone,1.5317840198472426,5,10,15
42,74,Felician,1.3225262100633557,4,9,12
80,75,American Int'l,1.247242412753012,2,11,6
78,76,Tiffin,1.2059122072479997,3,9,9
84,77,Adams St.,1.171450427339188,0,8,0
20,78,Lees-McRae,1.0620569066764989,3,10,9
34,79,William Jewell,0.9652004920282393,2,12,6
66,80,Dominican (NY),0.8143406060889543,4,11,12
49,81,Thomas More,0.6784411275668769,2,12,6
5,82,Virginia St.,0.38334406808819416,3,11,9
1,83,Chowan,0.343239197138837,1,11,3
4,84,Emory & Henry,0.2765837013950332,0,14,0
2,85,Davis & Elkins,0.27411063542989905,2,15,6
76,86,Caldwell,0.2089363177099189,0,12,0
64,87,Dist. Columbia,0.13542705467263008,0,12,0
