,Rank,Team,Index,Wins,Losses,Ties,Points
35,1,Chris. Newport,100.0,9,0,0,27
11,2,Rensselaer,89.24383920452796,7,0,0,21
29,3,Salisbury,85.3281954066264,7,0,0,21
24,4,Elmhurst,80.70419804761828,7,0,0,21
181,5,Trine,75.67491887723742,7,0,0,21
132,6,RIT,74.3883505931271,7,1,0,21
217,7,Tufts,73.18074870732524,4,0,0,12
75,8,Haverford,71.71716396693373,7,1,0,21
85,9,Swarthmore,71.20548303497566,7,1,0,21
232,10,Bowdoin,67.62006034550546,4,0,0,12
66,11,Salve Regina,65.59802016251389,7,1,0,21
10,12,Kean,65.32387078606021,7,1,0,21
135,13,Hood,64.86679004712542,5,0,0,15
58,14,Susquehanna,64.6655419415686,7,1,0,21
37,15,York (PA),64.00525849781108,5,2,0,15
201,16,UMass Boston,63.02317303488349,4,0,0,12
213,17,Cortland,61.67037111548371,5,1,0,15
147,18,Oberlin,61.38264218572557,5,1,0,15
7,19,Stevenson,60.81209411982716,6,2,0,18
48,20,Alma,60.02176665912447,7,0,0,21
73,21,Carthage,59.806423561668545,7,1,0,21
240,22,Mass. Maritime,59.093172806672804,4,0,0,12
175,23,Dean,59.071708726538326,6,0,0,18
92,24,Franklin & Marshall,58.28698289032717,6,2,0,18
223,25,Amherst,57.92090961013423,3,0,0,9
32,26,Kenyon,57.71480816655879,5,2,0,15
53,27,Wheaton (MA),57.320916036670255,6,1,0,18
139,28,Bates,56.277437975497214,5,1,0,15
178,29,Montclair St.,56.12963986797125,6,1,0,18
81,30,Gettysburg,54.67042736806303,4,2,0,12
236,31,Trinity (CT),53.904722367330166,3,1,0,9
62,32,Wash. & Lee,52.98900410176868,4,2,0,12
228,33,Wesleyan (CT),52.90728689091651,3,1,0,9
64,34,Washington Col.,51.304499784589204,6,2,0,18
129,35,Stevens,50.24345401527998,5,1,0,15
163,36,Kalamazoo,50.1462336292265,4,0,0,12
76,37,St. John Fisher,49.78988844115624,4,2,0,12
210,38,Rivier,49.664159667813585,3,1,0,9
149,39,North Central (IL),49.46471434327889,5,1,0,15
68,40,Ill. Wesleyan,49.12957464577026,6,2,0,18
34,41,Hampden-Sydney,48.965170342051515,4,2,0,12
43,42,Wentworth,48.914312849490464,6,2,0,18
120,43,Mount Union,47.61657407133859,5,1,0,15
36,44,Colorado Col.,47.194845139114555,6,3,0,18
17,45,Wabash,46.39437692228079,6,2,0,18
6,46,Ohio Wesleyan,46.131319587887795,4,3,0,12
193,47,Keiser,46.03331524862753,1,0,0,3
146,48,Lynn,45.651512267202506,1,0,0,3
119,49,Marymount (VA),43.57051671820061,5,1,0,15
18,50,Hanover,43.38611203511767,6,2,0,18
160,51,Ithaca,43.08981098579817,5,2,0,15
126,52,Roanoke,43.01722549511287,5,2,0,15
59,53,Penn College,42.74551730437823,5,2,0,15
150,54,Clarkson,42.576497005032266,5,2,0,15
177,55,Merchant Marine,42.434224722406604,3,2,0,9
131,56,Denison,42.326194335672135,3,2,0,9
89,57,Adrian,41.95368429902433,5,3,0,15
115,58,FDU-Florham,41.887550014315586,5,1,0,15
22,59,Southwestern (TX),41.23182703253146,3,1,0,9
87,60,Ohio Northern,41.09526448945227,5,3,0,15
109,61,Goucher,40.534886483067055,5,2,0,15
151,62,MIT,40.51464571883702,3,2,0,9
234,63,SUNY Cobleskill,40.410451686284404,1,0,0,3
145,64,Farmingdale St.,40.378811412791585,4,2,0,12
4,65,Point U.,39.95272570033669,2,0,0,6
65,66,Plymouth St.,39.93813584841892,3,2,0,9
206,67,Thomas More,39.86214334491273,1,0,0,3
5,68,Pfeiffer,39.614743529483,5,2,0,15
104,69,Endicott,38.64391892676529,4,3,0,12
226,70,SUNY Potsdam,38.41117655878224,3,1,0,9
137,71,Clark (MA),38.269040919472474,4,2,0,12
196,72,Beloit,38.23908547406494,3,1,0,9
9,73,Randolph-Macon,37.85974968627479,5,3,0,15
8,74,Mary Washington,37.00246940340666,4,3,0,12
38,75,St. Mary's (MD),36.72372516484058,5,3,0,15
102,76,St. Lawrence,36.64648644075452,3,3,0,9
20,77,Sewanee,36.56588464447255,5,3,0,15
124,78,Coast Guard,36.43169349316626,4,2,0,12
204,79,Holy Family,36.30077140719128,1,0,0,3
84,80,Babson,35.8790841264643,4,2,0,12
179,81,Alvernia,35.513804708130586,4,1,0,12
33,82,Transylvania,35.40765231600767,5,4,0,15
55,83,Muhlenberg,35.38645257468165,4,3,0,12
70,84,U New England,35.3125139223234,4,3,0,12
239,85,Anna Maria,35.30943474418526,1,0,0,3
26,86,Rhodes,35.23776367682665,5,4,0,15
203,87,Vassar,35.22207303562103,4,2,0,12
61,88,Mt. Vernon Naz.,35.12863727591626,2,0,0,6
159,89,Carroll (WI),34.82031781417362,4,3,0,12
218,90,Connecticut Col.,34.80020489610296,2,2,0,6
13,91,Eastern,34.34623493270916,4,3,0,12
72,92,Nazareth,34.32999134987137,4,4,0,12
143,93,Wittenberg,34.21311023057546,3,2,0,9
219,94,Williams,34.0272987278668,2,2,0,6
96,95,Moravian,33.994205840208494,3,2,0,9
241,96,SUNY Poly,33.68904935801755,2,1,0,6
16,97,Arcadia,33.198508757083324,4,3,0,12
222,98,Middlebury,33.148362372705385,2,3,0,6
23,99,Centre,32.99211363272134,4,4,0,12
63,100,Skidmore,32.528939121206236,3,3,0,9
158,101,Cornell College,31.342868076903194,3,2,0,9
207,102,Salem St.,31.021248594086643,2,1,0,6
111,103,Marietta,30.89525384766048,5,2,0,15
50,104,Baldwin Wallace,29.234521255412684,3,4,0,9
130,105,Dickinson,29.1796021285662,3,4,0,9
82,106,Lynchburg,29.174765184275465,2,4,0,6
28,107,Grove City,29.13781580867185,4,5,0,12
189,108,SUNY Delhi,28.84430178418571,3,2,0,9
155,109,Wooster,28.816193767993955,3,3,0,9
231,110,Eastern Conn. St.,28.793256780625722,3,2,0,9
167,111,Lycoming,28.740236433465636,3,2,0,9
171,112,Maine Maritime,28.498098103198437,3,3,0,9
199,113,Oswego St.,28.497068134093585,2,2,0,6
52,114,Stockton,28.34914096516936,4,4,0,12
198,115,SUNY Brockport,28.267786857636853,3,3,0,9
142,116,Westminster (PA),27.592329442432238,3,3,0,9
138,117,Drew,27.54253522101167,4,3,0,12
27,118,Hope,27.100450975347226,3,4,0,9
31,119,Piedmont,26.887977445257338,5,3,0,15
83,120,Roger Williams,26.725222043605363,4,5,0,12
170,121,Marywood,26.61500439653346,4,3,0,12
227,122,Colby,26.35762248446616,1,2,0,3
