,Rank,Team,Index,Wins,Losses,Ties,Points,Mask
261,1,Tufts,99.99999999999999,20,1,3,63,True
383,2,Trinity (TX),87.90377974871664,19,2,1,58,True
449,3,Lynchburg,80.46625746874315,18,2,1,55,True
35,4,St. Olaf,80.04934754905351,20,3,2,62,True
195,5,Dickinson,71.57908032657961,16,0,6,54,True
362,6,Emory,67.25075923642575,14,2,4,46,True
373,7,WashU,65.86465901758733,13,3,1,40,True
313,8,Augsburg,64.73170010072171,16,3,3,51,True
332,9,Lake Forest,64.68685337192748,18,2,0,54,True
439,10,UChicago,63.99127513333712,12,2,4,40,True
126,11,Wheaton (MA),63.24247583182477,16,2,4,52,True
390,12,Macalester,59.3927877967741,15,5,0,45,True
442,13,Chris. Newport,57.90586537351522,13,3,3,42,True
447,14,Cortland,56.778062351120376,12,1,6,42,True
347,15,Calvin,54.96386863275689,16,3,1,49,True
51,16,Rowan,54.7364017630151,16,4,4,52,True
157,17,Catholic,54.46761976152189,13,1,6,45,True
129,18,Connecticut Col.,54.073439829839906,12,3,6,42,True
406,19,Hobart,52.08480356578873,11,1,5,38,True
334,20,Wis.-Eau Claire,51.749395155412714,12,3,4,40,True
163,21,Bowdoin,51.457067325242996,12,4,4,40,True
398,22,Scranton,51.330674908317825,12,1,6,42,True
298,23,Grove City,50.240306582247165,15,2,2,47,True
391,24,Southwestern (TX),49.02506747025272,13,2,3,42,True
325,25,Wis.-Whitewater,48.33896865451356,14,3,3,45,True
292,26,DePauw,48.31567384552957,12,2,4,40,True
385,27,Denison,46.98606511529394,13,3,3,42,True
469,28,Hampden-Sydney,45.95544297020632,12,4,2,38,True
379,29,Montclair St.,44.9159944488388,11,2,4,37,True
206,30,Wesleyan (CT),44.622873439140996,10,5,4,34,True
125,31,Williams,44.17827341856091,10,5,4,34,True
361,32,Wash. & Lee,44.16626231544979,11,4,4,37,True
380,33,Ohio Northern,42.53711203922227,10,0,7,37,True
308,34,Edgewood,42.44095520113356,15,4,1,46,True
188,35,Haverford,42.15591405342387,10,0,8,38,True
272,36,Suffolk,41.87878091562626,13,2,4,43,True
123,37,Middlebury,41.65401789269279,10,6,2,32,True
344,38,Buffalo St.,41.64190221278877,10,2,5,35,True
223,39,UMSV,40.7834740053885,13,1,2,41,True
254,40,Rochester (NY),40.33994775393642,9,3,4,31,True
236,41,Pfeiffer,39.99181059102586,12,0,4,40,True
85,42,UMass Boston,39.8629210839094,13,4,2,41,True
429,43,Mount Union,38.61303790588791,11,3,4,37,True
27,44,Saint John's (MN),38.10736111546171,13,4,2,41,True
433,45,Brandeis,37.56940060605475,8,4,5,29,True
323,46,Whitman,37.404652178114446,14,1,5,47,True
297,47,Carnegie Mellon,37.275732434786235,8,4,4,28,True
348,48,Gustavus Adolphus,36.37974692796086,12,7,1,37,True
352,49,Wheaton (IL),35.90737251855729,10,3,3,33,True
443,50,Va. Wesleyan,35.819004094078124,11,6,0,33,True
211,51,Otterbein,35.817728330959326,10,3,6,36,True
105,52,SUNY Oneonta,35.264328116587876,11,5,4,37,True
265,53,Merchant Marine,34.952745355685984,12,3,2,38,True
322,54,Colorado Col.,34.87150253552148,11,1,5,38,True
375,55,Mary Hardin-Baylor,34.3160690477,11,2,5,38,True
150,56,Roger Williams,33.818762848429024,11,2,6,39,True
273,57,Amherst,33.66900153067734,8,6,3,27,True
381,58,Messiah,33.37965805388575,13,7,2,41,True
448,59,Vassar,33.102767043571454,9,6,3,30,True
106,60,Skidmore,33.06121601842299,9,4,3,30,True
333,61,Wis.-Superior,32.708097819444774,16,6,0,48,True
320,62,Wooster,32.63243553396553,9,2,6,33,True
428,63,Hanover,32.5914969825345,13,4,2,41,True
441,64,Ill. Wesleyan,32.44581826837761,11,3,4,37,True
37,65,Salisbury,32.137327753683515,8,6,5,29,True
193,66,Muhlenberg,32.120119289515735,8,3,8,32,True
137,67,Hamilton,32.09520955278248,7,5,3,24,True
36,68,Pacific Lutheran,31.999613616347915,13,3,3,42,True
76,69,Neumann,31.91607307275838,13,3,3,42,True
389,70,Texas Lutheran,31.903561840725118,12,4,3,39,True
48,71,Loras,31.89738860298456,11,2,6,39,True
405,72,Transylvania,31.862655881195778,12,3,3,39,True
187,73,Stockton,31.86093449524874,9,4,5,32,True
466,74,St. Joseph's (L.I.),31.572535258532326,12,5,1,37,True
409,75,Penn St.-Behrend,31.420381495035976,11,4,1,34,True
360,76,Mary Washington,31.347460550683007,8,6,3,27,True
387,77,Luther,31.271130498488382,8,3,7,31,True
234,78,Sewanee,31.081359615749363,11,4,3,36,True
284,79,WestConn,30.816952122773635,13,5,3,42,True
75,80,Bridgewater (VA),30.528671543343627,12,5,2,38,True
146,81,SUNY New Paltz,30.44707777624933,8,4,4,28,True
432,82,Albion,29.87733521925874,11,3,2,35,True
124,83,Bridgewater St.,29.74864114226459,12,6,1,37,True
404,84,Babson,29.606294094115892,10,7,3,33,True
304,85,Aurora,29.558464778277884,12,4,3,39,True
285,86,Drew,28.828343256067413,9,5,3,30,True
210,87,Ohio Wesleyan,28.699509507653584,7,3,6,27,True
401,88,Berry,28.439674419049865,10,6,4,34,True
237,89,Plattsburgh St.,28.262066435297147,8,3,5,29,True
330,90,MSOE,28.205570931900716,12,6,3,39,True
166,91,Colby,28.013959638178143,5,4,6,21,True
367,92,Kenyon,27.787940186647635,6,4,6,24,True
171,93,Hope,27.096339558934567,10,5,2,32,True
309,94,Wis.-Stevens Point,27.095177136127344,12,4,4,40,True
299,95,Maryville (TN),26.429460761953795,8,3,5,29,True
139,96,Wilmington (OH),26.378154723244947,12,5,2,38,True
101,97,Carleton,26.141418610745177,8,5,3,27,True
424,98,Washington Col.,25.908735224430842,6,5,5,23,True
377,99,Gettysburg,25.77417387832479,8,6,3,27,True
88,100,Stevens,25.720546048555192,9,3,6,33,True
29,101,Stevenson,25.446610601873243,11,6,2,35,True
46,102,Johns Hopkins,25.36736292152693,8,6,6,30,True
73,103,SUNY Geneseo,25.203955605298393,13,5,3,42,True
207,104,Western New Eng.,24.701920980303267,9,6,3,30,True
408,105,CWRU,24.63298933058569,5,5,5,20,True
219,106,Bates,24.545339639606755,7,6,3,24,True
103,107,Bethel (MN),24.383452626182407,9,6,3,30,True
422,108,TCNJ,24.224485562917042,9,5,5,32,True
415,109,Saint Joseph (CT),23.755649853906736,12,5,2,38,True
147,110,Union (NY),23.532782931668706,7,5,6,27,True
192,111,Lebanon Valley,23.42811231703496,9,4,6,33,True
358,112,Juniata,23.422092751767156,9,4,7,34,True
216,113,Salve Regina,23.34004271338896,6,4,5,23,True
231,114,FDU-Florham,23.22346101335656,10,3,5,35,True
329,115,North Central (IL),23.209208914089288,8,2,7,31,True
10,116,Occidental,23.142441583222038,10,5,4,34,True
253,117,SUNY Brockport,23.064791993229957,10,5,3,33,True
305,118,North Park,22.808407229738112,9,7,2,29,True
92,119,UC Santa Cruz,22.732098206818367,9,7,1,28,True
49,120,Covenant,22.72549838651688,8,4,5,29,True
30,121,Moravian,22.380400318385778,8,6,4,28,True
99,122,Greenville,22.35759059434828,10,4,3,33,True
282,123,RIT,21.70908724936247,6,5,4,22,True
200,124,McDaniel,21.469470697599917,7,6,4,25,True
425,125,Clarkson,21.42515975522945,6,5,4,22,True
38,126,York (PA),21.41430608935323,8,5,6,30,True
225,127,Coast Guard,21.353188562555808,7,5,7,28,True
77,128,Lycoming,21.311497891535467,7,6,5,26,True
311,129,Illinois Col.,21.228273721926215,8,3,4,28,True
59,130,N.C. Wesleyan,20.977774222068827,9,8,2,29,True
306,131,Ithaca,20.9619326213969,6,6,4,22,True
228,132,SUNY Delhi,20.955948657886527,12,2,5,41,True
58,133,Randolph-Macon,20.61231971521047,8,5,4,28,True
89,134,Wm. Paterson,20.37973093989518,9,9,3,30,True
131,135,La Roche,20.113537764970577,10,4,4,34,True
130,136,Hartford,20.001939581359714,9,6,2,29,True
342,137,Whittier,19.968165379057265,8,4,4,28,True
6,138,Concordia (TX),19.599040483894267,9,5,5,32,True
346,139,St. Norbert,19.45026762482224,11,6,0,33,True
451,140,St. Thomas (TX),19.42543696061901,9,5,1,28,True
378,141,Pomona-Pitzer,19.153501926287774,8,5,3,27,True
444,142,Redlands,19.092701202310852,8,6,4,28,True
400,143,Rutgers-Newark,19.01711686864951,10,8,2,32,True
100,144,Central (IA),18.874268802025913,8,4,5,29,True
33,145,William Peace,18.873818511301128,9,6,3,30,True
169,146,Mass. Maritime,18.82215093201974,10,5,3,33,True
184,147,Lehman,18.754467857716996,10,3,4,34,True
277,148,JWU (Providence),18.634433541087713,8,5,4,28,True
138,149,Fredonia,18.621352127829514,8,6,3,27,True
420,150,Westfield St.,18.54007337960149,9,4,4,31,True
158,151,St. Mary's (MD),18.467340496672932,11,6,1,34,True
161,152,Wittenberg,18.321465694589186,5,4,7,22,True
39,153,Ramapo,18.248049143218456,9,7,1,28,True
50,154,NYU,18.077246622880615,4,8,2,14,True
307,155,Elmira,18.01532776527579,9,4,5,32,True
104,156,Wartburg,17.986819985960917,7,8,2,23,True
170,157,Illinois Tech,17.811272650547895,10,6,3,33,True
276,158,Rutgers-Camden,17.783046873697348,6,8,3,21,True
191,159,Salem St.,17.706523054955145,9,3,6,33,True
90,160,WPI,17.447322444048282,7,7,5,26,True
25,161,Swarthmore,17.40438321875288,4,6,6,18,True
79,162,Wis.-Platteville,17.35442816437688,7,6,5,26,True
350,163,Endicott,17.349693598867347,8,8,2,26,True
290,164,JWU Charlotte,16.829897681317377,10,5,3,33,True
40,165,Penn St.-Abington,16.824412497117333,9,5,5,32,True
359,166,Mount Aloysius,16.72204228117156,10,6,3,33,True
241,167,Alfred St.,16.658266052168525,8,4,6,30,True
327,168,John Carroll,16.5834634463782,6,7,4,22,True
426,169,Utica,16.402115960210658,8,4,5,29,True
86,170,Hood,16.160582329670138,9,6,2,29,True
167,171,Thomas (ME),16.002376184348844,12,6,1,37,True
338,172,Belhaven,15.770441925294408,9,6,4,31,True
312,173,Bethany Lutheran,15.68631877004438,12,7,2,38,True
343,174,Keene St.,15.626659297987034,7,6,3,24,True
257,175,Misericordia,15.579924121748835,7,7,4,25,True
274,176,Chapman,15.510291221629132,6,5,4,22,True
209,177,Ripon,15.31526257693658,10,6,1,31,True
269,178,Fisher,15.257876489228835,5,2,0,15,True
281,179,Saint Vincent,15.198917417023704,9,4,5,32,True
20,180,Rose-Hulman,15.127042083582383,9,5,4,31,True
414,181,Emmanuel (MA),15.012266844439257,7,4,5,26,True
134,182,Delaware Valley,14.930536063783942,9,5,2,29,True
221,183,Methodist,14.878092872775,5,3,11,26,True
32,184,Emerson,14.833964904046454,6,7,5,23,True
258,185,Goucher,14.698008398656228,8,7,2,26,True
239,186,Franciscan,14.64907620138669,10,9,2,32,True
203,187,Gordon,14.630306364524404,8,7,1,25,True
