,Rank,Team,Index,Wins,Losses,Points
14,1,Buffalo Bills,100.0,3,0,9
6,2,Green Bay Packers,99.40157810442919,2,0,6
30,3,Tampa Bay Buccaneers,95.47668933102426,2,0,6
1,4,Los Angeles Chargers,94.533332171194,2,0,6
0,5,Philadelphia Eagles,93.55220673588062,2,0,6
31,6,San Francisco 49ers,92.89955865379234,2,0,6
17,7,Cincinnati Bengals,92.43758923024242,2,0,6
3,8,Indianapolis Colts,91.85319572930968,2,0,6
7,9,Los Angeles Rams,87.21078432828537,2,0,6
20,10,Arizona Cardinals,85.3268341192356,2,0,6
11,11,Atlanta Falcons,60.83630366506129,1,1,3
27,12,Las Vegas Raiders,60.54876773307612,1,1,3
12,13,Seattle Seahawks,59.89876536674769,1,1,3
18,14,Baltimore Ravens,55.267484559570484,1,1,3
13,15,Denver Broncos,54.536359190137716,1,1,3
22,16,Detroit Lions,54.47626609503497,1,1,3
9,17,Jacksonville Jaguars,54.02290947630673,1,1,3
21,18,Dallas Cowboys,53.94633015118815,1,1,3
8,19,Washington Commanders,53.220005371312446,1,1,3
26,20,Minnesota Vikings,50.349378199868475,1,1,3
23,21,Pittsburgh Steelers,49.95230540718883,1,1,3
4,22,New England Patriots,48.88743662948143,1,1,3
2,23,New Orleans Saints,29.502652047453907,0,2,0
24,24,Kansas City Chiefs,28.60590541149024,0,2,0
25,25,Houston Texans,28.151558953702928,0,2,0
5,26,New York Jets,26.160724337474313,0,2,0
29,27,Carolina Panthers,25.212054485077154,0,2,0
10,28,Cleveland Browns,24.97631795523241,0,2,0
16,29,Tennessee Titans,24.527014537239754,0,2,0
28,30,New York Giants,21.670105997313588,0,2,0
15,31,Chicago Bears,21.650916677492127,0,2,0
19,32,Miami Dolphins,18.44770413868086,0,3,0
