,Rank,Team,Index,Wins,Losses,Ties,Points
10,1,El Farolito,100.00000000000001,17,0,3,54
17,2,FC Motown,85.16345934879114,15,2,2,47
84,3,Las Vegas Legends FC,61.6357639713197,10,0,0,30
46,4,West Chester United SC,57.4699289349642,9,2,2,29
61,5,Annapolis Blues FC,56.48677514935502,10,2,0,30
8,6,Duluth FC,56.3800937425232,13,6,1,40
81,7,Appalachian FC,53.32299326980178,9,1,2,29
74,8,Dakota Fusion FC,52.98732598521131,10,1,3,33
45,9,New York Shockers,50.892369488808754,10,3,2,32
13,10,Napa Valley 1839 FC,48.988028275307514,10,4,0,30
35,11,West Texas FC,46.70623524647798,11,4,1,34
19,12,Steel City FC,45.23349696336921,9,2,3,30
77,13,Apotheos FC,44.823725934182015,6,3,2,20
26,14,Naples United FC,43.98282737095103,7,3,1,22
67,15,Hartford City FC,43.48046377255088,7,2,3,24
29,16,Columbus United FC,43.46491529338537,11,5,3,36
1,17,Des Moines United FC,41.108884004678906,8,4,2,26
30,18,Pensacola FC,39.43756476080396,7,3,1,22
27,19,Jacksonville Armada FC U-23,38.533157658654446,8,3,2,26
40,20,Jackson Lions FC,37.61653660147525,6,3,2,20
59,21,Alexandria Reds,37.607140596002886,7,2,2,23
23,22,Akron City FC,36.766577886240455,9,3,0,27
37,23,OKC 1889 FC,33.99400196671312,4,3,1,13
44,24,Virginia Dream FC,32.96978928842727,8,4,2,26
14,25,San Ramon FC,32.72549460270921,6,3,4,22
58,26,Lubbock Matadors,32.29210044735986,5,4,1,16
49,27,Pennsylvania Classics,30.99771276651784,6,3,1,19
34,28,Hickory FC,30.496152799228916,9,4,1,28
20,29,Michigan Rangers FC,29.573456164728775,6,3,2,20
54,30,FC Brownsville,28.038910809537928,6,2,3,21
4,31,Gio's Lions SC Chicago,27.52714180829798,7,2,2,23
0,32,FC Milwaukee Torrent,27.344620324477287,6,4,2,20
41,33,Atlantic City FC,27.18852621841897,5,4,1,16
48,34,Electric City Shock SC,26.92170956788401,6,4,1,19
68,35,New Jersey United AC,26.1738438719493,6,4,1,19
7,36,Kansas City Sol,25.37807909905272,6,2,3,21
36,37,Arkansas Wolves FC,25.072162925411664,3,1,2,11
53,38,Denton Diablos FC,24.930179713412556,6,4,2,20
32,39,Tallahassee SC,24.209606394499023,4,5,2,14
57,40,Laredo Heat SC,23.87274686383111,5,4,2,17
50,41,Philadelphia Ukrainian Nationals,23.80936329101285,4,3,3,15
22,42,Cleveland SC,22.127339561022094,5,4,1,16
78,43,865 Alliance,21.826593354652065,4,4,2,14
83,44,Charlottetowne Hops FC,21.75520951437529,5,4,2,17
31,45,New Orleans Jesters,21.548779394696584,2,5,3,9
71,46,Minnesota TwinStars FC,21.144721968016412,6,5,2,20
16,47,FC Arizona ,20.444765790772884,7,4,1,22
73,48,Joy St. Louis Park,19.874413778275933,6,5,2,20
86,49,Lions United FC,19.61133246186475,6,3,1,19
11,50,Sacramento Gold FC,19.269616438005354,5,6,2,17
63,51,Grove United,18.89050397519261,4,4,2,14
75,52,Siouxland United FC,16.532406940803085,6,6,0,18
42,53,FC Monmouth,14.726419732965297,3,6,1,10
24,54,Erie Commodores FC,14.549662321513196,3,4,3,12
18,55,Flower City Union,14.055540561985007,5,5,1,16
56,56,CF10 Houston FC,13.81093498450986,3,5,2,11
15,57,California Odyssey SC,13.3765864136987,3,7,2,11
9,58,Oakland SC,13.309268944210991,4,7,1,13
3,59,Sunflower State FC,12.664521737328782,3,4,3,12
64,60,FC Frederick,12.334437322315473,5,6,0,15
70,61,Kingston Stockade FC,11.829349900028243,2,7,1,7
5,62,Club Atletico Saint Louis,11.527064544230551,2,5,3,9
66,63,Syracuse FC,10.959721297287553,3,7,0,9
79,64,Greenville United,10.47056125113343,1,6,3,6
43,65,WC Predators,10.418292715246952,2,6,2,8
38,66,Demize NPSL,9.468396754576602,0,5,1,1
69,67,Valeo FC,9.351859002596383,2,7,1,7
2,68,Ehtar Belleville FC,8.965657207440971,1,6,3,6
55,69,Austin United FC,8.616215915591042,2,7,1,7
65,70,DMV Elite FC,8.479012203944533,4,6,0,12
33,71,Miami Dutch Lions FC,7.9780132876853,3,8,0,9
39,72,Philadelphia Union DS,7.440268248753684,1,7,2,5
76,73,Sioux Falls Thunder FC,6.501305309518653,1,7,4,7
80,74,Bristol Rhythm AFC,6.304662656745389,2,8,0,6
52,75,Fort Worth Vaqueros FC,5.866061021089623,0,8,2,2
62,76,Virginia Beach City FC,5.502364580211621,2,8,0,6
47,77,Hershey FC,5.159444055651049,0,8,2,2
51,78,First State FC,5.036142765821406,0,7,3,3
6,79,Wisconsin Conquerors FC,5.020016361903798,0,8,2,2
28,80,Global Soccer Pathways,4.345980694813929,1,9,0,3
82,81,Port City FC,4.101361382471493,0,8,2,2
85,82,FCAZ Tucson,3.890631904223074,2,8,0,6
72,83,Minnesota Blizzard FC,3.051610406142118,0,10,2,2
87,84,Las Vegas Knights FC,2.500414774177553,0,6,0,0
88,85,Glendale Lions FC,1.9451528211017184,0,6,0,0
12,86,Oakland Stompers,1.7145996252085867,0,12,0,0
21,87,Southern Indiana Guardians FC,1.5454372871379018,0,9,1,1
25,88,Niagara 1812,1.4611197723061966,0,9,1,1
60,89,Alexandria Rough Diamonds,0.9984550388506613,0,10,0,0
