,Rank,Team,Index,Wins,Losses,Ties,Points
0,1,Current,100.0,21,4,2,65
5,2,Spirit,51.92175391898042,14,7,8,50
11,3,Gotham FC,42.63709746311303,12,8,9,45
1,4,Thorns,40.89725969693267,12,9,7,43
6,5,Pride,40.42070182786538,12,9,7,43
10,6,Reign,36.82292340385899,10,8,9,39
12,7,Louisville,33.84379654666817,10,10,7,37
9,8,Wave,33.56005307848861,10,10,7,37
13,9,Courage,32.83875564926439,9,9,8,35
4,10,Dash,24.029504676499112,8,12,6,30
8,11,Angel City,21.402843173279585,7,13,6,27
2,12,Royals,19.80920757859069,6,13,7,25
7,13,Chicago Stars,18.321920588576862,3,12,11,20
3,14,Bay FC,15.90284055588864,4,14,8,20
