,Rank,Team,Index,Wins,Losses,Ties,Points
12,1,Al Nassr,100.0,28,4,2,86
3,2,Al Hilal,95.3996475292304,25,0,9,84
1,3,Al Ahli,81.9414801696525,25,3,6,81
7,4,Al Qadsiah,66.2946702653828,23,3,8,77
9,5,Al Ittihad,27.197029900248708,16,11,7,55
4,6,Al Taawoun,26.438596582469735,15,11,8,53
2,7,Al Ettifaq,22.58692337254557,14,12,8,50
14,8,Neom SC,18.428411327120962,12,13,9,45
17,9,Al Hazem,16.389618016529994,11,14,9,42
6,10,Al Fateh,13.600364125916249,9,15,10,37
15,11,Al Fayha,13.5998736507772,10,16,8,38
5,12,Al Shabab,12.88612161066752,8,15,11,35
10,13,Al Khaleej,12.438753723742758,10,17,7,37
0,14,Damac,10.591958187198944,6,17,11,29
13,15,Al Kholood,9.957169412699843,9,19,6,33
11,16,Al Riyadh,9.834910404659185,7,18,9,30
8,17,Al Okhdood,5.435968204938388,5,24,5,20
16,18,Al Najma,4.786565244987594,3,24,7,16
