,Rank,Team,Index,Wins,Losses,Ties,Points
9,1,Napoli,100.0,15,3,2,47
1,2,Inter,91.21114192931222,13,1,5,44
17,3,Atalanta,83.34228815283764,13,3,3,42
18,4,Juventus,55.55073337485591,7,0,12,33
14,5,Lazio,53.972681055475526,11,6,3,36
3,6,Fiorentina,46.3405205970882,9,5,6,33
10,7,Bologna,45.591188766745724,7,3,8,29
4,8,Milan,42.208815757237744,7,4,7,28
11,9,Udinese,31.049636254934395,7,8,5,26
13,10,Roma,28.57343918189186,6,8,6,24
0,11,Genoa,26.635488495235787,5,7,8,23
5,12,Torino,24.924612846516382,5,8,7,22
19,13,Como,22.055368971190113,4,8,7,19
6,14,Empoli,21.751138876980423,4,8,8,20
2,15,Parma,20.817624393066996,4,9,7,19
16,16,Lecce,19.83806271787698,5,10,5,20
12,17,Cagliari,19.177100067387535,4,10,6,18
8,18,Hellas Verona,14.674707118906285,6,13,1,19
15,19,Venezia,13.639057132476928,3,12,5,14
7,20,Monza,13.592183220316569,2,11,7,13
