,Rank,Team,Index,Wins,Losses,Ties,Points
251,1,Miami United FC,100.00000000000001,12,0,1,37
242,2,NY Renegades FC,92.57041289493286,12,3,0,36
189,3,Soda City FC,92.34656881997316,12,0,2,38
122,4,Southern Indiana FC,85.39129956517597,11,0,1,34
48,5,Kalonji Pro-Profile,85.13403299171823,12,1,0,36
153,6,Lonestar SC,78.65877993413118,9,1,2,29
166,7,Bridge Sports Club,76.3885964224923,10,2,2,32
54,8,Foro Soccer Club,75.57435980984057,10,2,0,30
9,9,FC Folsom,75.14340837709642,10,0,2,32
28,10,Bellevue Athletic,70.20649514946587,9,0,2,29
179,11,East Lake Soccer FC,69.4848983001328,9,2,0,27
16,12,Brockton FC United,69.36239937516119,10,3,0,30
135,13,FC America Spurs,69.17344833692057,8,0,2,26
213,14,Project 51O,67.19406379976085,10,0,2,32
89,15,MSI Pro,65.71746388990891,9,2,0,27
255,16,New York Braveheart SC,65.10470047166275,9,2,2,29
171,17,Beaverton FC,64.55290916558332,9,0,2,29
62,18,Fut Ohio SC,64.49604010824638,11,2,1,34
184,19,City SC San Diego,62.58614050792592,9,2,0,27
103,20,Detroit United,61.199834877075396,8,2,2,26
202,21,Coachella Football Club,60.349193834613985,9,0,3,30
225,22,FC Arizona,59.50295080574855,9,0,3,30
38,23,Virginia Dream FC,58.88102114058764,9,3,1,28
262,24,Inter Miami CF Academy,58.0713922971924,9,2,2,29
186,25,Sonoma Valley United FC,57.855746042989885,9,0,3,30
71,26,KO Elites FC,57.69948543397673,10,1,0,30
143,27,GFI Academy,57.168973841325226,10,1,1,31
41,28,DC Hyper,56.70031224344014,10,2,1,31
53,29,Sporting NTX,56.365883586730654,9,3,0,27
25,30,Club Nacional de Football Tampa,56.249272107356546,8,2,0,24
151,31,Laredo Heat SC,55.73396543241453,9,3,0,27
97,32,Black Cat FC,55.12834630999808,9,3,2,29
81,33,Valley 559 FC,53.036005253775784,7,3,1,22
162,34,Azteca FC 5280,52.501796380473166,7,0,2,23
195,35,AC Raleigh,51.58615798195687,10,3,0,30
57,36,FC Dallas Academy,49.744885475194295,7,2,1,22
169,37,Deportivo Rose City,49.21112509583909,7,2,2,23
201,38,Laguna United FC,48.99861111079898,8,3,1,25
116,39,Dalton United,48.866365689074875,9,1,4,31
155,40,Tennessee Tempo FC,48.84657230194675,7,3,2,23
101,41,DUKA FC,48.65310035316714,8,3,2,26
126,42,Tulsa Athletic,48.54337827337864,10,1,1,31
221,43,SC Union Maricopa Raiders,48.24542436282298,8,2,2,26
167,44,St. Johns FC,47.95227034623429,8,3,0,24
177,45,San Diego Internacional FC,47.03632803413018,8,4,0,24
33,46,Boston Street FC,46.94224703608664,8,4,1,25
68,47,Arlington SA,46.461751468449144,7,2,2,23
4,48,Murcielagos de Utah,46.23604442626627,8,0,4,28
233,49,Pinecrest Premier SC,46.098467166901806,8,4,1,25
258,50,Inter City FC,45.22441753238829,6,3,1,19
134,51,Harbor City FC,45.209151344489946,6,1,3,21
90,52,Germantown City FC,44.975707851942154,7,3,0,21
19,53,El Paso Rush ACM3,44.88890967325049,5,1,2,17
107,54,Diverse City FC Pro Academy,44.711615797101906,8,3,2,26
132,55,Top Team CSS,44.53551883464632,7,1,2,23
49,56,Georgia Revolution FC,44.05844920780323,9,1,4,31
163,57,Aurora Football Club,43.26978572679897,6,2,1,19
26,58,Sharktopus FC,43.182919896791184,7,0,4,25
113,59,New Jersey Alliance FC,43.01560316439042,7,3,2,23
130,60,Arkansas Wolves FC,42.904687133192986,9,2,1,28
106,61,KS Wisloka Chicago,41.899823719597826,6,3,2,20
173,62,Clearwater Chargers SC,41.60806442424979,6,2,2,20
207,63,LA10 Football Club,41.52547565107968,8,1,3,27
29,64,Dalul FC,41.36855610143287,7,4,1,22
215,65,SCU Heat,40.53317709304405,8,5,0,24
108,66,Chicago Nation FC,40.13603655239018,5,2,4,19
234,67,North Miami ISA,40.07317329463203,8,4,1,25
63,68,Columbus Astray,39.98962503746667,8,3,1,25
192,69,North Carolina FC Academy,39.60121717603419,9,5,1,28
95,70,Round Lake Evolution FC,39.468621777391895,6,3,2,20
92,71,Utah Red Wolves SC,38.790936319112674,6,0,4,22
206,72,San Fernando Valley FC,38.32018345756491,6,3,2,20
20,73,West Florida Flames,37.94906610547887,6,2,2,20
115,74,Ironbound Soccer Club,37.89008559838751,6,2,4,22
3,75,Provo Utah FC,37.523080094816585,6,1,5,23
12,76,Wahda United FC,37.191706358126474,8,3,1,25
21,77,St Petersburg FC Aztecs,37.07456545658275,6,4,0,18
196,78,North Georgia United,36.43018868581531,8,2,3,27
245,79,East Coast FC,35.37371343838989,6,3,2,20
75,80,Ventura County FC,35.201363062344235,8,3,1,25
137,81,Current FC,35.1054734461489,6,2,2,20
32,82,United Africa FC,34.95491492392797,6,3,1,19
47,83,Potros FC,34.94921855825042,7,3,4,25
44,84,Vinotinto Atlanta FC,34.94803918175831,8,2,3,27
22,85,Lakeland United,34.81266487880598,5,4,1,16
160,86,Indios Denver FC,34.20151173801056,4,3,1,13
14,87,Jaguars United FC,33.816369888657,7,4,1,22
235,88,Little Haiti FC,33.27161762093925,6,4,3,21
52,89,Villarreal North Texas,32.70269110897143,7,4,1,22
254,90,OFC Barca,32.4660382520112,6,3,1,19
237,91,City Soccer FC,32.463473750614746,7,5,1,22
114,92,Lancaster FC,32.12436957976813,5,3,3,18
220,93,Asheville F.C,31.9021137187047,8,5,1,25
105,94,Panathinaikos Chicago,31.88843040508883,5,3,2,17
187,95,Napa Valley 1839 FC,31.752843441523698,6,4,2,20
120,96,Two Knox,31.466726739592627,6,3,3,21
24,97,Florida Premier FC,30.557068876280795,5,4,1,16
27,98,Fc International,30.475039963820976,7,3,2,23
198,99,SoCal United,30.1978587578746,6,4,2,20
165,100,Club Deportivo Laurel,29.98581921508953,5,3,2,17
39,101,VA Revolution Pro,29.930966135407825,6,4,2,20
42,102,Alexandria United FC,29.722802809709005,6,4,1,19
100,103,Grand Rapids SC,29.620052517966574,5,3,3,18
154,104,San Antonio Corinthians FC,29.60642871197806,4,5,2,14
18,105,El Paso Locomotive FC II,29.224259119161456,4,2,3,15
260,106,Chiefs United,29.093642899196833,5,4,2,17
141,107,Houston reVision,28.913514208702164,5,4,2,17
252,108,Hodler Miami Fc,28.654843393013994,6,4,3,21
17,109,UDA Soccer NMSU,27.839924219004402,4,2,3,15
79,110,Central Coast Surf UPSL,27.592040379920487,6,4,1,19
0,111,Yuta Kickers FC,27.39957226833421,6,3,2,20
183,112,Rebels SC,27.353139161172326,7,5,0,21
193,113,Mint Hill FC,27.28700084195946,8,6,0,24
172,114,Naples City FC,26.937660348826988,5,5,0,15
140,115,Texas Premier,26.72288530913021,5,4,3,18
205,116,LAFC Academy,26.507293560745303,5,5,1,16
152,117,Inter San Antonio,26.19245176696017,5,4,2,17
158,118,Lexington Sporting Club,25.894216510014065,5,4,3,18
88,119,Sure Sports FC,25.62188258684204,4,5,1,13
56,120,FC Dallas Dynamo,25.320034056532066,6,4,1,19
194,121,Combine Academy,24.99290530164068,7,5,1,22
110,122,Union SC,24.540627006813786,4,5,2,14
247,123,Plantation FC,24.475993414144963,5,5,3,18
5,124,Metasport FC,24.407629851203655,6,4,2,20
59,125,Southern Indiana Guardians,24.257960243508297,5,4,2,17
119,126,Atletico New Mexico,23.541912957194892,3,4,1,10
30,127,Holac FC,23.310459199093827,5,5,1,16
243,128,NY Empire FC,23.032279272987243,4,4,3,15
232,129,Rush Select Academy,23.011301918536443,5,6,2,17
125,130,Bowling Green FC,22.816580542974386,5,6,0,15
271,131,Florida Central Finalist,22.518498798309455,0,0,0,0
267,132,Top Team / CH4BOLD,22.330797172879816,0,0,0,0
123,133,Pre-College DA,22.32634817150235,4,4,2,14
268,134,Harbor City / Ideasport,22.315245795101482,0,0,0,0
269,135,FC America / Brevard SC,22.313546029257157,0,0,0,0
270,136,Current FC / OFC Barca,22.287839144462897,0,0,0,0
70,137,Unations FC,22.053596810678687,6,5,0,18
203,138,AMSG FC,21.473374868495235,5,6,1,16
85,139,Bay Area United FC,21.430891298484394,3,3,6,15
8,140,Real Galt FC,21.398922893003796,5,5,1,16
2,141,Utah Avalanche SC,21.223215740079915,5,5,1,16
228,142,San Antonio FC Academy,21.156297322810534,4,5,1,13
124,143,Chattanooga United Football Club,20.693024010622512,5,5,1,16
200,144,Ocelot Academy,20.45405094572503,4,6,0,12
73,145,GZS Bridgeport FC,20.323310707109293,5,4,2,17
240,146,Estudiantes Soccer,20.05329498589261,2,4,4,10
40,147,Grove United,20.006585353365995,5,5,1,16
84,148,Bay Valley Suns,19.87384640924681,4,5,1,13
214,149,East County Revolution FC,19.746751716540118,3,4,3,12
111,150,Philadelphia Union III,19.725400419332853,2,3,5,11
