,Rank,Team,Index,Wins,Losses,Ties,Points
17,1,Louisville City,100.0,19,1,6,63
16,2,Charleston,75.12540053532425,17,5,4,55
1,3,FC Tulsa,55.16736206926274,13,5,8,47
10,4,Sac Republic,44.8592792238823,11,6,8,41
12,5,North Carolina,41.76392908243246,12,9,4,40
9,6,Loudoun Utd,39.97901501071864,11,9,6,39
11,7,New Mexico Utd,39.090682180811065,12,10,4,40
13,8,Pittsburgh,37.878041892718244,10,9,7,37
18,9,San Antonio,35.79132652783558,10,8,7,37
7,10,Hartford,35.36007227761077,11,10,5,38
0,11,Phx Rising,31.973808365556337,7,7,12,33
6,12,Lexington SC,31.475422828211435,9,9,8,35
20,13,El Paso,30.943603889962215,8,8,9,33
2,14,Orange County,29.15563940103634,8,10,6,30
5,15,Detroit City,28.290781351864908,8,10,8,32
23,16,Rhode Island FC,26.72979237755439,8,11,7,31
21,17,CS Switchbacks,26.252013958337077,8,11,7,31
22,18,Indy Eleven,26.234684287041837,9,12,5,32
3,19,Roots,22.34887838104934,7,12,6,27
15,20,TB Rowdies,22.09547980219731,7,13,6,27
19,21,Monterey Bay,21.92824526701638,7,13,7,28
8,22,B'ham Legion,21.838585253502217,4,11,11,23
14,23,LV Lights FC,20.008236215266564,6,13,7,25
4,24,Miami FC,14.872762571966458,5,15,6,21
