,Rank,Team,Index,Wins,Losses,Ties,Points
88,1,Vermont Green FC,100.0,14,0,4,46
102,2,FC Motown 2,88.76674071981242,11,1,1,34
17,3,Dothan United SC,80.0343010877303,13,2,1,40
39,4,Western Mass Pioneers,76.82435630644783,11,1,3,36
137,5,Asheville City SC,76.19263781009235,10,1,2,32
107,6,Flint City Bucks,74.09492562734371,12,4,0,36
138,7,Ventura County Fusion,73.3788515320824,11,3,1,34
46,8,Ballard FC,73.00803539260177,13,3,3,42
103,9,Hudson Valley Hammers,68.46245745083478,8,2,3,27
70,10,North Carolina Fusion,64.91337960171275,8,1,3,27
63,11,Fort Wayne FC,63.56434446695975,10,3,1,31
73,12,Sarasota Paradise,63.5557098954217,10,2,2,32
89,13,Long Island Rough Riders,62.18818649381746,9,3,1,28
13,14,Lionsbridge FC,61.362122075103585,11,4,2,35
81,15,Laredo Heat SC,61.049518111521934,11,2,0,33
11,16,Northern Virginia FC,60.808520442463966,11,2,2,35
6,17,Midwest United FC,58.952915510809994,8,4,1,25
78,18,Des Moines Menace,56.14207895215705,10,2,1,31
68,19,Louisiana Krewe FC,55.580972752006815,9,3,2,29
44,20,West Chester United Usl2,55.048147971184655,7,1,4,25
84,21,Little Rock Rangers,54.76258322199354,8,2,3,27
12,22,Virginia Beach United,54.330647532080526,9,3,2,29
127,23,Ocean City Nor Easters,51.7580681537203,7,3,3,24
94,24,RKC Soccer Club,50.46137705064581,7,1,4,25
18,25,Almaden FC,49.78649922379701,9,4,2,29
54,26,Sueno FC,48.42120772887806,9,3,2,29
109,27,North Carolina FC,47.88214784303911,6,2,4,22
35,28,San Francisco Glens SC,47.02262247407667,7,3,4,25
25,29,"Pinellas County, Fl",46.48759764366224,8,2,2,26
97,30,Fort Lauderdale United FC,44.83515660220939,10,3,2,32
29,31,Nona FC,44.73538106722831,7,4,0,21
113,32,The Villages,44.63932021648438,7,3,2,23
76,33,Corpus Christi FC,43.958823711987705,6,3,3,21
93,34,Minneapolis City SC,43.94356859100361,9,3,3,30
116,35,South Carolina United FC,42.78396039610091,7,4,1,22
110,36,Charlotte Independence 2,41.94579057561094,8,4,1,25
15,37,Peoria City,41.79921793495182,8,3,2,26
40,38,Lane United FC,41.784469555212254,7,3,4,25
123,39,Utah United,41.632889239799525,8,4,1,25
20,40,Capo FC 2,40.475450000737496,7,2,3,24
61,41,Steel City FC,39.975082917657566,8,2,3,27
3,42,San Juan FC,39.05801120460873,9,5,1,28
100,43,Sporting Jax,38.59484211954996,8,4,1,25
106,44,FC Tucson,38.099388170732645,7,3,4,25
104,45,AHFC Royals,37.924109598026085,6,4,2,20
85,46,Redlands FC,37.87213582516432,6,3,3,21
23,47,Snohomish United,37.83183145119524,9,5,2,29
8,48,AFC Ann Arbor,37.406882366937296,6,3,3,21
124,49,Boulder County United,37.30121100047713,6,4,1,19
5,50,Project 51O,36.966167972266454,5,3,6,21
52,51,Lexington SC II,36.87393926329824,7,2,3,24
87,52,FC Buffalo,35.90213664924071,7,3,2,23
2,53,San Francisco City,34.19779375849201,6,4,4,22
