,Rank,Team,Index,Wins,Losses,Ties,Points
0,1,Chelsea,100.0,4,0,0,12
7,2,Manchester City,82.63362327249266,4,0,1,13
6,3,Arsenal,48.27563053064262,2,1,2,8
2,4,Manchester Utd,41.84075836293371,3,0,1,10
4,5,Brighton,31.51725181181317,3,1,1,10
8,6,Liverpool,16.9867974052699,1,1,3,6
10,7,Tottenham,11.274599986636556,1,3,1,4
9,8,Leicester City,10.389018994684504,1,2,2,5
11,9,Crystal Palace,9.446314964972313,1,3,1,4
1,10,Aston Villa,8.896364536465335,0,3,2,2
3,11,West Ham,8.418628537328146,0,3,2,2
5,12,Everton,8.406269234605972,0,3,2,2
