,Rank,Team,Index,Wins,Losses,Ties,Points
91,1,Sioux Falls City FC,100.0,9,0,0,27
84,2,Clarkstown Soccer Club,93.69480103004258,8,0,0,24
67,3,FC Milwaukee Torrent,85.668915698289,8,0,0,24
12,4,SC del Sol,85.66843902294312,9,0,1,28
59,5,FC Dayton,85.3965032143069,9,0,1,28
19,6,Ambassadors Cleveland,82.64314070976266,7,0,1,22
88,7,Salvo SC,81.7711452156377,8,1,0,24
70,8,Colorado Pride,74.48483329475864,7,1,0,21
2,9,Charlotte Eagles,74.43685151140338,7,1,0,21
6,10,Arlington Soccer,74.41852514662877,7,0,1,22
124,11,865 Alliance,72.88343200502811,6,0,2,20
109,12,California Storm,71.53679332852874,6,0,3,21
79,13,Utah Surf,71.31472315719859,8,1,1,25
104,14,FC Davis,69.9359110784721,6,0,3,21
53,15,Keystone FC,65.92415367989031,8,2,0,24
106,16,San Francisco Nighthawks,65.75430941693722,6,1,2,20
122,17,Decatur FC,64.89343798649405,6,1,1,19
100,18,Spokane SC Shadow,64.78503081519392,6,1,1,19
116,19,San Diego Surf,61.5094875525744,5,1,2,17
7,20,McLean Soccer,60.314621367775445,6,1,1,19
3,21,Port City FC,58.91732727071682,6,2,0,18
48,22,Penn Fusion SA,58.843895849614505,6,1,3,21
125,23,UFA Gunners,58.21213414263502,5,1,2,17
18,24,Columbus Eagles FC,58.092153587903816,5,1,2,17
50,25,SJEB FC ,57.68162918758358,5,1,3,18
39,26,West Florida Flames,55.3553177037537,10,0,6,36
78,27,La Roca FC,55.0931824352816,6,1,3,21
32,28,Austin Rise FC,54.670071938024826,6,1,3,21
118,29,Nashville Rhythm F.C.,54.62353250290093,5,2,1,16
82,30,Rhode Island Rogues ,51.73907347518252,5,2,1,16
86,31,Minnesota Thunder,51.42207650539603,6,3,0,18
72,32,Indios Denver FC,51.15837162321662,5,2,1,16
76,33,Utah Avalanche,50.55045016919746,6,2,2,20
56,34,Reading United A.C.,50.22642098318048,6,2,2,20
73,35,PSD Academy,50.13905589859054,5,2,1,16
102,36,Iron Rose FC,50.087125242143884,4,0,5,17
54,37,Pennsylvania Classics,48.918463752274725,6,3,1,19
21,38,RNY FC,48.23875172644028,4,2,2,14
49,39,Delaware Ospreys,47.991889984858915,5,3,1,16
31,40,Classics Elite SA,47.9436506408894,5,1,4,19
22,41,Niagara 1812,46.903658583373954,4,2,2,14
126,42,Georgia Impact,46.84372237921281,4,2,2,14
37,43,FC Prime,45.95833992273655,10,4,2,32
115,44,So Cal Union FC,45.39468784502871,4,3,1,13
15,45,FC Tucson,45.137075194721994,5,2,3,18
60,46,Junction FC,45.11805621594245,5,2,3,18
113,47,San Diego Strikers,45.112711445480286,4,3,1,13
96,48,Portland Thorns FC II,44.93613034818845,4,2,2,14
28,49,Beach Futbol Club,44.2432597814223,10,2,4,34
66,50,Green Bay Glory,43.52446158185323,5,3,0,15
58,51,HEX FC Tempest,43.1315904381255,6,4,0,18
95,52,St. Croix Legacy,42.90749412554245,5,3,1,16
40,53,Seminole Ice,42.00882207295286,10,4,2,32
25,54,BC United,41.38386751792065,3,3,1,10
111,55,SoCal Dutch Lions FC,41.227446187914914,4,4,0,12
108,56,Lamorinda United,41.20094327363145,5,4,0,15
24,57,Cleveland Ambassadors,39.72808664410025,4,4,0,12
98,58,Seattle Reign FC II,39.33616052236308,4,3,1,13
89,59,Mankato United Soccer Club ,39.330714930984676,5,4,0,15
33,60,Houston Aces,38.581021154921764,4,3,3,15
35,61,Futbolera Select,38.01783051426493,4,3,3,15
45,62,Cape Coral Cyclones ,37.86121931071566,10,6,0,30
